model,prop,wis,wis_scaled_relative_skill,ae_median,ae_median_scaled_relative_skill,interval_coverage_50,interval_coverage_95,q_coverage_0.010,q_coverage_0.025,q_coverage_0.050,q_coverage_0.100,q_coverage_0.150,q_coverage_0.200,q_coverage_0.250,q_coverage_0.300,q_coverage_0.350,q_coverage_0.400,q_coverage_0.450,q_coverage_0.500,q_coverage_0.550,q_coverage_0.600,q_coverage_0.650,q_coverage_0.700,q_coverage_0.750,q_coverage_0.800,q_coverage_0.850,q_coverage_0.900,q_coverage_0.950,q_coverage_0.975,q_coverage_0.990
UMass-gbq_qr_no_reporting_adj,1,29.1,0.6,44.4,0.654,0.51,0.94,0.012762237762237762,0.028846153846153848,0.04702797202797203,0.08041958041958042,0.12552447552447552,0.17202797202797201,0.22937062937062938,0.28601398601398603,0.3449300699300699,0.4027972027972028,0.456993006993007,0.5083916083916084,0.5601398601398602,0.608041958041958,0.6582167832167832,0.6998251748251748,0.7395104895104895,0.7784965034965035,0.8211538461538461,0.8664335664335664,0.9206293706293707,0.9636363636363636,0.9895104895104895
UMass-gbq_qr,1,30.3,0.625,46.3,0.682,0.529,0.947,0.008566433566433567,0.01730769230769231,0.026573426573426574,0.05944055944055944,0.11171328671328672,0.1729020979020979,0.24475524475524477,0.3153846153846154,0.3770979020979021,0.43636363636363634,0.48653846153846153,0.534965034965035,0.5865384615384616,0.6468531468531469,0.6917832167832167,0.737937062937063,0.7739510489510489,0.8157342657342658,0.8575174825174825,0.893006993006993,0.9229020979020979,0.9590909090909091,0.9877622377622378
UMass-gbq_qr_no_transform,1,31.1,0.642,48,0.708,0.497,0.948,0.013986013986013986,0.024825174825174826,0.04283216783216783,0.08356643356643356,0.1326923076923077,0.19178321678321678,0.2589160839160839,0.3302447552447552,0.39353146853146853,0.4498251748251748,0.49755244755244754,0.5508741258741259,0.5875874125874125,0.6321678321678321,0.6701048951048951,0.7108391608391609,0.7557692307692307,0.7965034965034965,0.8442307692307692,0.8945804195804196,0.9403846153846154,0.9673076923076923,0.987062937062937
FluSight-baseline,1,48.5,1,67.9,1,0.282,0.888,0.028846153846153848,0.04807692307692308,0.08951048951048951,0.18706293706293706,0.26853146853146853,0.3298951048951049,0.37272727272727274,0.40664335664335666,0.4325174825174825,0.45594405594405596,0.4781468531468531,0.5008741258741258,0.5234265734265734,0.5487762237762238,0.5777972027972028,0.6066433566433567,0.6402097902097902,0.6751748251748252,0.7201048951048951,0.7853146853146853,0.8804195804195805,0.9284965034965035,0.9522727272727273
