model,horizon,prop,wis,wis_scaled_relative_skill,ae_median,ae_median_scaled_relative_skill,interval_coverage_50,interval_coverage_95,q_coverage_0.010,q_coverage_0.025,q_coverage_0.050,q_coverage_0.100,q_coverage_0.150,q_coverage_0.200,q_coverage_0.250,q_coverage_0.300,q_coverage_0.350,q_coverage_0.400,q_coverage_0.450,q_coverage_0.500,q_coverage_0.550,q_coverage_0.600,q_coverage_0.650,q_coverage_0.700,q_coverage_0.750,q_coverage_0.800,q_coverage_0.850,q_coverage_0.900,q_coverage_0.950,q_coverage_0.975,q_coverage_0.990
UMass-flusion__gbq_qr__sarix,3,1,40.1,0.566,60.1,0.594,0.621,0.968,0.006656804733727811,0.008136094674556213,0.015532544378698224,0.038461538461538464,0.06656804733727811,0.10872781065088757,0.14718934911242604,0.20931952662721892,0.26849112426035504,0.3276627218934911,0.40014792899408286,0.47411242603550297,0.5414201183431953,0.606508875739645,0.6634615384615384,0.7107988165680473,0.768491124260355,0.8143491124260355,0.860207100591716,0.900887573964497,0.9393491124260355,0.9733727810650887,0.9896449704142012
UMass-flusion,3,1,41.2,0.581,63.5,0.627,0.592,0.974,0.005177514792899409,0.01257396449704142,0.028846153846153848,0.05917159763313609,0.09541420118343195,0.14423076923076922,0.19822485207100593,0.257396449704142,0.3343195266272189,0.3979289940828402,0.46227810650887574,0.5281065088757396,0.5835798816568047,0.6427514792899408,0.6989644970414202,0.746301775147929,0.7899408284023669,0.8357988165680473,0.8779585798816568,0.9178994082840237,0.9630177514792899,0.9837278106508875,0.9940828402366864
UMass-gbq_qr,3,1,41.4,0.584,62.9,0.622,0.541,0.955,0.005917159763313609,0.011094674556213017,0.019970414201183433,0.045118343195266274,0.10281065088757396,0.15902366863905326,0.23372781065088757,0.2943786982248521,0.35281065088757396,0.41494082840236685,0.4681952662721893,0.5192307692307693,0.5798816568047337,0.6375739644970414,0.6775147928994083,0.7263313609467456,0.7744082840236687,0.8232248520710059,0.8624260355029586,0.8986686390532544,0.9275147928994083,0.9630177514792899,0.9896449704142012
UMass-flusion__gbq_qr__gbq_qr_no_level,3,1,42.6,0.601,65.8,0.651,0.564,0.975,0.005917159763313609,0.014792899408284023,0.031804733727810654,0.07544378698224852,0.1264792899408284,0.19230769230769232,0.253698224852071,0.3328402366863905,0.3927514792899408,0.46153846153846156,0.5362426035502958,0.584319526627219,0.6264792899408284,0.6923076923076923,0.731508875739645,0.7729289940828402,0.8180473372781065,0.8535502958579881,0.8920118343195266,0.9282544378698225,0.9578402366863905,0.9866863905325444,0.9970414201183432
UMass-flusion__gbq_qr__sarix,2,1,35.1,0.605,53.4,0.655,0.584,0.967,0.009971509971509971,0.01282051282051282,0.01566951566951567,0.049145299145299144,0.0933048433048433,0.14031339031339032,0.1908831908831909,0.24216524216524216,0.29985754985754987,0.35826210826210825,0.4237891737891738,0.47863247863247865,0.5327635327635327,0.6011396011396012,0.6680911680911681,0.7264957264957265,0.7749287749287749,0.8155270655270656,0.8468660968660968,0.8903133903133903,0.9423076923076923,0.9757834757834758,0.9907407407407407
UMass-gbq_qr,2,1,35.2,0.608,54.8,0.672,0.527,0.948,0.007122507122507123,0.01638176638176638,0.02849002849002849,0.06267806267806268,0.1103988603988604,0.17735042735042736,0.25427350427350426,0.32905982905982906,0.391025641025641,0.46225071225071224,0.5078347578347578,0.5534188034188035,0.5925925925925926,0.6531339031339032,0.6994301994301995,0.7492877492877493,0.7813390313390314,0.8219373219373219,0.8632478632478633,0.896011396011396,0.9280626780626781,0.9601139601139601,0.9914529914529915
UMass-flusion,2,1,35.4,0.611,55.1,0.676,0.569,0.975,0.008547008547008548,0.014245014245014245,0.029914529914529916,0.06908831908831908,0.11752136752136752,0.16666666666666666,0.21794871794871795,0.2913105413105413,0.3383190883190883,0.3995726495726496,0.4586894586894587,0.5227920227920227,0.5726495726495726,0.6381766381766382,0.6894586894586895,0.7471509971509972,0.7870370370370371,0.8169515669515669,0.8561253561253561,0.905982905982906,0.9522792022792023,0.9857549857549858,0.9943019943019943
UMass-flusion__gbq_qr__gbq_qr_no_level,2,1,35.6,0.613,55.7,0.684,0.537,0.963,0.007834757834757835,0.02207977207977208,0.046296296296296294,0.0876068376068376,0.1282051282051282,0.20014245014245013,0.26424501424501423,0.34615384615384615,0.4066951566951567,0.47364672364672367,0.5242165242165242,0.5804843304843305,0.6317663817663818,0.6794871794871795,0.7250712250712251,0.7613960113960114,0.8012820512820513,0.8433048433048433,0.8789173789173789,0.9123931623931624,0.9444444444444444,0.9814814814814815,0.9971509971509972
UMass-flusion__gbq_qr__gbq_qr_no_level,1,1,27,0.638,41.8,0.716,0.541,0.953,0.011675824175824176,0.02197802197802198,0.03983516483516483,0.08379120879120878,0.13873626373626374,0.2032967032967033,0.2623626373626374,0.32074175824175827,0.39285714285714285,0.45467032967032966,0.5144230769230769,0.5604395604395604,0.6146978021978022,0.6717032967032966,0.709478021978022,0.7513736263736264,0.8028846153846154,0.8413461538461539,0.8701923076923077,0.904532967032967,0.9368131868131868,0.970467032967033,0.9896978021978022
UMass-gbq_qr,1,1,27.3,0.644,41.7,0.715,0.524,0.949,0.008928571428571428,0.017857142857142856,0.02403846153846154,0.059065934065934064,0.11744505494505494,0.18475274725274726,0.25824175824175827,0.33791208791208793,0.39697802197802196,0.4491758241758242,0.5,0.5467032967032966,0.603021978021978,0.6614010989010989,0.7060439560439561,0.7506868131868132,0.7822802197802198,0.8186813186813187,0.8619505494505495,0.8962912087912088,0.9244505494505495,0.9629120879120879,0.9869505494505495
