model,horizon,prop,wis,wis_scaled_relative_skill,ae_median,ae_median_scaled_relative_skill,interval_coverage_50,interval_coverage_95,q_coverage_0.010,q_coverage_0.025,q_coverage_0.050,q_coverage_0.100,q_coverage_0.150,q_coverage_0.200,q_coverage_0.250,q_coverage_0.300,q_coverage_0.350,q_coverage_0.400,q_coverage_0.450,q_coverage_0.500,q_coverage_0.550,q_coverage_0.600,q_coverage_0.650,q_coverage_0.700,q_coverage_0.750,q_coverage_0.800,q_coverage_0.850,q_coverage_0.900,q_coverage_0.950,q_coverage_0.975,q_coverage_0.990
UMass-flusion,3,1,29.5,0.528,45.3,0.569,0.633,0.984,0.006233303650934996,0.007123775601068566,0.012466607301869992,0.027604630454140695,0.05966162065894924,0.10329474621549421,0.14158504007123776,0.20035618878005343,0.27515583259127335,0.3392698130008905,0.40872662511130897,0.4772929652715939,0.5440783615316117,0.6108637577916296,0.6651825467497774,0.7230632235084595,0.7747105966162066,0.8263579697239537,0.8771148708815673,0.9171861086375779,0.9661620658949243,0.9866429207479964,0.9973285841495992
UMass-flusion,2,1,24.8,0.559,38.2,0.609,0.606,0.982,0.008517887563884156,0.01192504258943782,0.015332197614991482,0.04003407155025554,0.07410562180579217,0.1201022146507666,0.1737649063032368,0.2393526405451448,0.29131175468483816,0.36201022146507666,0.4233390119250426,0.479557069846678,0.545144804088586,0.616695059625213,0.6746166950596252,0.7333901192504259,0.7793867120954003,0.8219761499148212,0.8645655877342419,0.9080068143100511,0.948892674616695,0.9880749574105622,0.995741056218058
UMass-flusion,1,1,19.2,0.608,29.1,0.666,0.577,0.964,0.009016393442622951,0.01557377049180328,0.02459016393442623,0.04590163934426229,0.07459016393442623,0.12540983606557377,0.1901639344262295,0.24262295081967214,0.30491803278688523,0.369672131147541,0.4336065573770492,0.5,0.5647540983606557,0.6270491803278688,0.6745901639344263,0.7221311475409836,0.7672131147540984,0.8221311475409836,0.8614754098360655,0.9049180327868852,0.940983606557377,0.9737704918032787,0.990983606557377
MIGHTE-Nsemble,3,1,35.8,0.642,54.1,0.679,0.484,0.896,0.02226179875333927,0.04007123775601069,0.05520926090828139,0.08904719501335707,0.13624220837043632,0.176313446126447,0.2226179875333927,0.2831700801424755,0.3312555654496883,0.37666963490650046,0.42297417631344614,0.4808548530721282,0.5244879786286732,0.5716829919857525,0.6179875333926982,0.6651825467497774,0.7043633125556545,0.748886910062333,0.7996438112199465,0.8441674087266251,0.8975957257346393,0.9323241317898486,0.9492430988423864
MIGHTE-Nsemble,2,1,30.6,0.688,46.3,0.739,0.51,0.927,0.02129471890971039,0.034071550255536626,0.05025553662691652,0.0919931856899489,0.14054514480408858,0.18739352640545145,0.22913117546848383,0.28023850085178875,0.33475298126064734,0.393526405451448,0.4335604770017036,0.49829642248722317,0.5391822827938672,0.590289608177172,0.6533219761499148,0.6899488926746167,0.7385008517887564,0.793015332197615,0.8398637137989778,0.8764906303236797,0.9216354344122658,0.954855195911414,0.9735945485519591
UMass-flusion,0,1,12.1,0.688,18.4,0.761,0.578,0.957,0.014195583596214511,0.01892744479495268,0.02444794952681388,0.04810725552050473,0.08753943217665615,0.12933753943217666,0.1774447949526814,0.23895899053627762,0.2996845425867508,0.3580441640378549,0.416403785488959,0.4755520504731861,0.5481072555205048,0.6017350157728707,0.6458990536277602,0.7066246056782335,0.7539432176656151,0.8012618296529969,0.8548895899053628,0.8974763406940063,0.9321766561514195,0.9668769716088328,0.9905362776025236
FluSight-ensemble,3,1,38.8,0.7,59.4,0.75,0.476,0.896,0.007123775601068566,0.013357079252003561,0.02226179875333927,0.04452359750667854,0.07123775601068566,0.1157613535173642,0.14870881567230632,0.19323241317898487,0.2315227070347284,0.2894033837934105,0.3437221727515583,0.396260017809439,0.43722172751558325,0.4781834372217275,0.5325022261798753,0.572573463935886,0.6215494211932324,0.672306322350846,0.7168299198575245,0.7711487088156723,0.8512911843276937,0.9029385574354408,0.9474621549421193
FluSight-ensemble,2,1,31.2,0.705,48.5,0.775,0.476,0.924,0.011073253833049404,0.015332197614991482,0.02385008517887564,0.054514480408858604,0.09540034071550256,0.13458262350936967,0.1737649063032368,0.20783645655877342,0.24105621805792163,0.2989778534923339,0.3441226575809199,0.40630323679727426,0.4557069846678024,0.5076660988074957,0.5587734241908007,0.6047700170357752,0.6431005110732538,0.6942078364565588,0.7495741056218058,0.8126064735945485,0.8875638841567292,0.9327086882453152,0.9599659284497445
UGA_flucast-INFLAenza,2,0.8929989550679206,33.8,0.707,50.2,0.741,0.466,0.897,0.008604206500956023,0.017208413001912046,0.040152963671128104,0.08221797323135756,0.11854684512428298,0.1682600382409178,0.2055449330783939,0.26003824091778205,0.30210325047801145,0.3441682600382409,0.390057361376673,0.4292543021032505,0.46749521988527726,0.5258126195028681,0.5697896749521989,0.607074569789675,0.6510516252390057,0.6959847036328872,0.7390057361376673,0.7896749521988528,0.864244741873805,0.9091778202676865,0.9416826003824091
MOBS-GLEAM_FLUH,2,0.9753396029258098,32.6,0.72,48.7,0.763,0.3,0.766,0.022707423580786028,0.03842794759825328,0.06200873362445415,0.10829694323144105,0.15021834061135372,0.17641921397379912,0.19825327510917032,0.22358078602620088,0.24716157205240175,0.27161572052401745,0.308296943231441,0.3327510917030568,0.3615720524017467,0.39388646288209606,0.434061135371179,0.45938864628820963,0.49344978165938863,0.5441048034934498,0.5965065502183406,0.662882096069869,0.7475982532751092,0.8017467248908297,0.8427947598253275
