model,prop,wis,wis_scaled_relative_skill,ae_median,ae_median_scaled_relative_skill,interval_coverage_50,interval_coverage_95,q_coverage_0.010,q_coverage_0.025,q_coverage_0.050,q_coverage_0.100,q_coverage_0.150,q_coverage_0.200,q_coverage_0.250,q_coverage_0.300,q_coverage_0.350,q_coverage_0.400,q_coverage_0.450,q_coverage_0.500,q_coverage_0.550,q_coverage_0.600,q_coverage_0.650,q_coverage_0.700,q_coverage_0.750,q_coverage_0.800,q_coverage_0.850,q_coverage_0.900,q_coverage_0.950,q_coverage_0.975,q_coverage_0.990
UMass-flusion__gbq_qr__sarix,1,21.2,0.582,32,0.626,0.589,0.967,0.01044932079414838,0.013793103448275862,0.02006269592476489,0.04911180773249739,0.08735632183908046,0.13500522466039708,0.18411703239289445,0.23908045977011494,0.2961337513061651,0.35464994775339603,0.4211076280041797,0.4886102403343783,0.5527690700104493,0.6152560083594566,0.67042842215256,0.7218390804597701,0.7726227795193312,0.819435736677116,0.864158829676071,0.9061650992685475,0.9458725182863114,0.9747126436781609,0.9914315569487984
UMass-gbq_qr,1,21.3,0.583,32.4,0.632,0.544,0.952,0.010240334378265412,0.018808777429467086,0.028422152560083593,0.06185997910135841,0.11368861024033437,0.17262277951933125,0.24535005224660397,0.31786833855799373,0.37763845350052244,0.4394984326018809,0.4934169278996865,0.5442006269592476,0.5966562173458725,0.6589341692789968,0.7055381400208987,0.7521421107628005,0.7895506792058516,0.8313479623824451,0.8739811912225706,0.9084639498432602,0.9343782654127482,0.9650992685475445,0.9897596656217346
UMass-flusion,1,21.4,0.588,32.9,0.642,0.574,0.969,0.01044932079414838,0.016091954022988506,0.030303030303030304,0.06478578892371996,0.10741901776384535,0.15632183908045977,0.21253918495297805,0.27398119122257053,0.33312434691745035,0.39519331243469175,0.45454545454545453,0.5237199582027168,0.5816091954022988,0.6394984326018809,0.690491118077325,0.7416927899686521,0.7864158829676071,0.8294670846394985,0.8704284221525601,0.9134796238244514,0.9529780564263323,0.9797283176593521,0.9937304075235109
UMass-flusion__gbq_qr__gbq_qr_no_level,1,21.5,0.589,32.9,0.643,0.555,0.961,0.010867293625914315,0.0225705329153605,0.038871473354231974,0.08213166144200627,0.1304075235109718,0.19205851619644723,0.25329153605015675,0.32351097178683386,0.3891327063740857,0.45203761755485894,0.5145245559038663,0.5703239289446186,0.6219435736677116,0.6779519331243469,0.722257053291536,0.7630094043887148,0.8081504702194358,0.8482758620689655,0.8858934169278997,0.9174503657262278,0.948380355276907,0.9782654127481714,0.9949843260188088
UMass-flusion__gbq_qr_no_level__sarix,1,23.7,0.651,37,0.723,0.542,0.964,0.011912225705329153,0.017972831765935213,0.041588296760710554,0.07753396029258099,0.11536050156739812,0.16405433646812956,0.2154649947753396,0.2677115987460815,0.3187042842215256,0.3730407523510972,0.4265412748171369,0.4890282131661442,0.5471264367816092,0.6050156739811913,0.6572622779519331,0.7088819226750261,0.7577847439916405,0.8037617554858935,0.8514106583072101,0.8955067920585162,0.9454545454545454,0.9765935214211077,0.9918495297805643
UMass-gbq_qr_no_level,1,24,0.657,36.7,0.717,0.525,0.949,0.01818181818181818,0.03928944618599791,0.07878787878787878,0.129153605015674,0.17533960292580983,0.22758620689655173,0.2756530825496343,0.3360501567398119,0.393521421107628,0.45642633228840124,0.5080459770114942,0.5719958202716824,0.6269592476489029,0.6739811912225705,0.7157784743991641,0.7632183908045977,0.800417972831766,0.8394984326018808,0.8706374085684431,0.9126436781609195,0.9519331243469175,0.9824451410658307,0.9962382445141066
UMass-sarix,1,28.1,0.771,43,0.841,0.508,0.934,0.012957157784743992,0.017972831765935213,0.029258098223615466,0.06039707419017764,0.09237199582027168,0.12810867293625913,0.16760710553814,0.21044932079414838,0.2568443051201672,0.30219435736677114,0.3567398119122257,0.40668756530825495,0.4589341692789969,0.5128526645768025,0.561337513061651,0.6163009404388715,0.6698014629049112,0.7239289446185998,0.7811912225705329,0.8426332288401254,0.9044932079414838,0.9435736677115988,0.9699059561128527
FluSight-baseline,1,36.4,1,51.2,1,0.308,0.903,0.02612330198537095,0.042842215256008356,0.07774294670846395,0.17157784743991641,0.2501567398119122,0.3113897596656217,0.35360501567398117,0.38746081504702196,0.4148380355276907,0.4403343782654128,0.4637408568443051,0.48923719958202716,0.5145245559038663,0.5442006269592476,0.5759665621734588,0.6081504702194357,0.645350052246604,0.6821316614420063,0.7283176593521421,0.7947753396029258,0.8923719958202717,0.9373040752351097,0.9584117032392895
