model,prop,wis,wis_scaled_relative_skill,ae_median,ae_median_scaled_relative_skill,interval_coverage_50,interval_coverage_95,q_coverage_0.010,q_coverage_0.025,q_coverage_0.050,q_coverage_0.100,q_coverage_0.150,q_coverage_0.200,q_coverage_0.250,q_coverage_0.300,q_coverage_0.350,q_coverage_0.400,q_coverage_0.450,q_coverage_0.500,q_coverage_0.550,q_coverage_0.600,q_coverage_0.650,q_coverage_0.700,q_coverage_0.750,q_coverage_0.800,q_coverage_0.850,q_coverage_0.900,q_coverage_0.950,q_coverage_0.975,q_coverage_0.990
UMass-flusion,0.9993589743589744,29.6,0.61,45.6,0.67,0.583,0.967,0.008397480755773267,0.013296011196641007,0.01941917424772568,0.04111266620013996,0.07697690692792163,0.12333799860041987,0.17389783065080475,0.23530440867739677,0.2974107767669699,0.36021693491952417,0.4217984604618614,0.480405878236529,0.5460111966410077,0.6072428271518544,0.6565780265920224,0.710111966410077,0.7566480055983205,0.8059832050384884,0.8523442967109867,0.8950314905528342,0.9380685794261722,0.9746326102169349,0.9916025192442267
FluSight-ensemble,1,35.5,0.731,55.4,0.814,0.516,0.926,0.009965034965034964,0.016258741258741258,0.0263986013986014,0.05297202797202797,0.08671328671328671,0.1243006993006993,0.16695804195804195,0.21241258741258742,0.2571678321678322,0.3117132867132867,0.36695804195804194,0.42377622377622376,0.47045454545454546,0.5236013986013986,0.573076923076923,0.6222027972027973,0.6756993006993007,0.7223776223776224,0.7753496503496503,0.8302447552447553,0.8989510489510489,0.9351398601398602,0.9643356643356643
MIGHTE-Nsemble,1,35.6,0.731,54,0.792,0.558,0.94,0.01695804195804196,0.02674825174825175,0.04108391608391608,0.07622377622377623,0.11940559440559441,0.16293706293706295,0.20944055944055945,0.26765734265734265,0.3195804195804196,0.3770979020979021,0.42937062937062936,0.4954545454545455,0.5491258741258741,0.6075174825174825,0.6646853146853147,0.7143356643356643,0.7648601398601399,0.8108391608391609,0.8540209790209791,0.8924825174825175,0.9339160839160839,0.9606643356643356,0.9744755244755244
UGA_flucast-INFLAenza,0.9,40.4,0.773,61.5,0.84,0.479,0.908,0.010596546310832025,0.018249607535321823,0.03512558869701727,0.07044740973312402,0.10773155416012559,0.15266875981161696,0.19819466248037676,0.24803767660910517,0.2921899529042386,0.33771585557299844,0.3852040816326531,0.4279827315541601,0.4697802197802198,0.516287284144427,0.5612244897959183,0.6096938775510204,0.6538461538461539,0.701530612244898,0.7529434850863422,0.8084772370486656,0.8763736263736264,0.9187598116169545,0.9509419152276295
MOBS-GLEAM_FLUH,0.9782051282051282,39.9,0.806,59.3,0.857,0.363,0.793,0.024490525563103323,0.039685377189846265,0.05666785841973543,0.09367179120486235,0.12745799070432606,0.15963532356095816,0.1910976045763318,0.2225598855917054,0.25831247765462995,0.2906685734715767,0.32409724705041115,0.35609581694672865,0.3893457275652485,0.4270647121916339,0.4647836968180193,0.5067929924919556,0.5491598140865213,0.5986771540936718,0.6439041830532714,0.7043260636396139,0.782445477297104,0.8292813728995352,0.8670003575259206
PSI-PROF,1,40,0.823,60.5,0.89,0.497,0.884,0.04143356643356643,0.05314685314685315,0.07150349650349651,0.10681818181818181,0.13793706293706293,0.1715034965034965,0.20297202797202799,0.2451048951048951,0.28444055944055946,0.3328671328671329,0.3847902097902098,0.43776223776223777,0.49213286713286714,0.5412587412587413,0.5916083916083916,0.6396853146853146,0.6851398601398602,0.7344405594405594,0.7818181818181819,0.8340909090909091,0.8938811188811189,0.9284965034965035,0.9454545454545454
PSI-PROF_beta,0.6666666666666666,45,0.827,68.7,0.899,0.487,0.866,0.033783783783783786,0.04755717255717256,0.07016632016632017,0.10966735966735967,0.14734927234927234,0.1845114345114345,0.22895010395010396,0.2752079002079002,0.3191268191268191,0.3731808731808732,0.42905405405405406,0.49324324324324326,0.545997920997921,0.5912162162162162,0.6322765072765073,0.6676195426195426,0.7091995841995842,0.751039501039501,0.7882016632016632,0.8341995841995842,0.8812370062370062,0.9126819126819127,0.9365904365904366
fjordhest-ensemble,1,41.5,0.851,64.4,0.945,0.466,0.903,0.030244755244755245,0.049125874125874124,0.07377622377622378,0.11870629370629371,0.15437062937062937,0.18986013986013986,0.22482517482517483,0.2601398601398601,0.2973776223776224,0.33776223776223774,0.38356643356643355,0.43216783216783217,0.48374125874125873,0.5346153846153846,0.5896853146853147,0.6375874125874126,0.6882867132867133,0.7479020979020979,0.8008741258741259,0.8575174825174825,0.916958041958042,0.9484265734265734,0.9744755244755244
UGA_flucast-Copycat,0.8661858974358975,45.7,0.852,66.1,0.878,0.418,0.824,0.022913256955810146,0.03518821603927987,0.05585106382978723,0.0975859247135843,0.13604746317512276,0.18146481178396073,0.22217675941080198,0.2700490998363339,0.3146481178396072,0.3619067103109656,0.40793780687397707,0.4459901800327332,0.4844517184942717,0.5245499181669394,0.5589198036006546,0.5949263502454992,0.6223404255319149,0.6571194762684124,0.6968085106382979,0.743657937806874,0.8023731587561375,0.8527004909983633,0.9009819967266776
CEPH-Rtrend_fluH,1,41.6,0.856,60.7,0.893,0.46,0.855,0.025,0.03479020979020979,0.04825174825174825,0.075,0.10192307692307692,0.1270979020979021,0.1555944055944056,0.19003496503496503,0.2229020979020979,0.25804195804195806,0.2972027972027972,0.3410839160839161,0.39213286713286716,0.44388111888111886,0.4935314685314685,0.5452797202797203,0.5996503496503497,0.6548951048951049,0.7078671328671329,0.7711538461538462,0.8368881118881119,0.8805944055944056,0.9134615384615384
CU-ensemble,1,42.1,0.865,60.9,0.894,0.442,0.827,0.06311188811188811,0.07062937062937064,0.08968531468531468,0.12517482517482517,0.1632867132867133,0.20611888111888113,0.25314685314685315,0.30716783216783217,0.3548951048951049,0.4013986013986014,0.4506993006993007,0.49230769230769234,0.543006993006993,0.5802447552447553,0.6225524475524475,0.659965034965035,0.6940559440559441,0.7293706293706294,0.7657342657342657,0.8076923076923077,0.8576923076923076,0.8963286713286713,0.9263986013986014
cfarenewal-cfaepimlight,0.9865384615384616,44.3,0.901,67.7,0.986,0.456,0.939,0.013092710544939844,0.0199929228591649,0.034501061571125265,0.05626326963906582,0.08085633404104742,0.10509554140127389,0.13411181882519463,0.16772823779193205,0.20382165605095542,0.23920736022646852,0.2799009200283086,0.3202406227883935,0.3602264685067233,0.4078202406227884,0.4577140835102618,0.5123849964614295,0.5739561217268223,0.6427813163481954,0.720276008492569,0.8009554140127388,0.8918966737438075,0.9497523000707714,0.9803609341825902
UMass-trends_ensemble,0.9993589743589744,43.9,0.906,67,0.99,0.618,0.922,0.015395381385584325,0.023617914625612316,0.03551434569629111,0.0586074177746676,0.09167249825052484,0.13068579426172147,0.17634709587123862,0.22743177046885935,0.28726382085374386,0.3577676696990903,0.43649405178446465,0.5122463261021694,0.5796011196641008,0.637333799860042,0.688593421973408,0.7372288313505948,0.7825402379286214,0.8222533240027992,0.8551434569629112,0.88925822253324,0.9214485654303709,0.9370188943317005,0.9525892232330301
SigSci-TSENS,0.9557692307692308,45,0.908,66.2,0.956,0.554,0.87,0.03962746530314098,0.05314097881665449,0.07030679327976626,0.10189919649379109,0.13403944485025565,0.17111029948867787,0.21092037983929876,0.2532870708546384,0.30350620891161434,0.3612125639152666,0.4302410518626735,0.506208911614317,0.5692111029948868,0.6241782322863404,0.6725712198685172,0.7120160701241782,0.747991234477721,0.7826880934989043,0.8150109569028487,0.8475164353542732,0.8886048210372535,0.9141709276844412,0.9368151935719503
