model,horizon,prop,wis,wis_scaled_relative_skill,ae_median,ae_median_scaled_relative_skill,interval_coverage_50,interval_coverage_95,q_coverage_0.010,q_coverage_0.025,q_coverage_0.050,q_coverage_0.100,q_coverage_0.150,q_coverage_0.200,q_coverage_0.250,q_coverage_0.300,q_coverage_0.350,q_coverage_0.400,q_coverage_0.450,q_coverage_0.500,q_coverage_0.550,q_coverage_0.600,q_coverage_0.650,q_coverage_0.700,q_coverage_0.750,q_coverage_0.800,q_coverage_0.850,q_coverage_0.900,q_coverage_0.950,q_coverage_0.975,q_coverage_0.990
UMass-flusion,3,0.9993006993006993,40.1,0.564,61.7,0.609,0.631,0.98,0.0051813471502590676,0.008142116950407105,0.014063656550703183,0.028867505551443375,0.05995558845299778,0.10214655810510732,0.13989637305699482,0.20281273131014063,0.27905255366395265,0.34196891191709844,0.4100666173205033,0.4744633604737232,0.5418208734270911,0.6069578090303479,0.6632124352331606,0.7172464840858623,0.770540340488527,0.8223538119911177,0.8719467061435974,0.9111769059955589,0.9615099925980755,0.9844559585492227,0.9948186528497409
UMass-flusion,2,0.9993006993006993,34.6,0.595,53.9,0.658,0.59,0.978,0.007840342124019958,0.012116892373485389,0.01496792587312901,0.037776193870277974,0.07341411261582323,0.1225944404846757,0.17533856022808267,0.2444761225944405,0.29579472558802566,0.36635780470420526,0.4255167498218104,0.4782608695652174,0.5402708481824662,0.6079828937990022,0.6628652886671419,0.722024233784747,0.7655024946543122,0.8089807555238774,0.8524590163934426,0.8980755523877405,0.9444048467569494,0.985032074126871,0.9950106913756237
UMass-flusion,1,0.9993006993006993,27.1,0.64,41.6,0.71,0.557,0.959,0.008247422680412371,0.015120274914089347,0.02336769759450172,0.04604810996563574,0.08041237113402062,0.13195876288659794,0.19381443298969073,0.24742268041237114,0.30721649484536084,0.3711340206185567,0.4336769759450172,0.4934707903780069,0.5573883161512028,0.6171821305841925,0.6632302405498282,0.7079037800687286,0.7505154639175258,0.8054982817869416,0.845360824742268,0.8907216494845361,0.9298969072164949,0.9697594501718213,0.9896907216494846
MIGHTE-Nsemble,3,1,46.2,0.649,69.9,0.687,0.49,0.904,0.019970414201183433,0.03698224852071006,0.05103550295857988,0.08579881656804733,0.1279585798816568,0.17381656804733728,0.22115384615384615,0.28106508875739644,0.32840236686390534,0.3772189349112426,0.4230769230769231,0.4807692307692308,0.5288461538461539,0.5784023668639053,0.6272189349112426,0.6715976331360947,0.7100591715976331,0.7559171597633136,0.8054733727810651,0.852810650887574,0.9038461538461539,0.9378698224852071,0.9548816568047337
MIGHTE-Nsemble,2,1,40.7,0.699,62.2,0.758,0.507,0.93,0.019230769230769232,0.030626780626780627,0.04772079772079772,0.08974358974358974,0.13817663817663817,0.18518518518518517,0.23219373219373218,0.2813390313390313,0.33262108262108264,0.3896011396011396,0.4323361823361823,0.49216524216524216,0.5391737891737892,0.5918803418803419,0.6531339031339032,0.6887464387464387,0.7386039886039886,0.7941595441595442,0.844017094017094,0.8782051282051282,0.9237891737891738,0.9558404558404558,0.9743589743589743
UMass-flusion,0,0.9993006993006993,18,0.705,27.2,0.791,0.559,0.952,0.011944260119442602,0.017252820172528202,0.0245520902455209,0.050431320504313204,0.09223623092236231,0.13470471134704712,0.1838088918380889,0.24419376244193763,0.30590577305905775,0.3603185136031851,0.4173855341738553,0.4751161247511613,0.544127405441274,0.59721300597213,0.6383543463835435,0.694757796947578,0.7418712674187127,0.7889847378898474,0.8414067684140677,0.8818845388188454,0.9190444591904446,0.9608493696084937,0.9873921698739216
FluSight-ensemble,3,1,50.6,0.711,78.1,0.769,0.486,0.899,0.005917159763313609,0.01257396449704142,0.02440828402366864,0.047337278106508875,0.07396449704142012,0.11464497041420119,0.15162721893491124,0.20340236686390534,0.2440828402366864,0.3039940828402367,0.3572485207100592,0.40976331360946744,0.4489644970414201,0.49556213017751477,0.5495562130177515,0.5880177514792899,0.6346153846153846,0.6819526627218935,0.724112426035503,0.7781065088757396,0.8587278106508875,0.9060650887573964,0.9504437869822485
FluSight-ensemble,2,1,42.2,0.727,66.5,0.812,0.474,0.924,0.010683760683760684,0.01566951566951567,0.02492877492877493,0.054843304843304845,0.09757834757834757,0.13675213675213677,0.1745014245014245,0.21082621082621084,0.24715099715099714,0.30626780626780625,0.3504273504273504,0.41025641025641024,0.4586894586894587,0.5113960113960114,0.5584045584045584,0.6018518518518519,0.6431623931623932,0.6951566951566952,0.7535612535612536,0.8155270655270656,0.8896011396011396,0.9337606837606838,0.9608262108262108
FluSight-ensemble,1,1,31.6,0.744,49.4,0.844,0.53,0.935,0.010302197802197802,0.017170329670329672,0.030906593406593408,0.05837912087912088,0.09684065934065934,0.13255494505494506,0.17101648351648352,0.2129120879120879,0.2603021978021978,0.31043956043956045,0.3743131868131868,0.426510989010989,0.47184065934065933,0.5288461538461539,0.5748626373626373,0.6353021978021978,0.6909340659340659,0.7293956043956044,0.7864010989010989,0.8475274725274725,0.9100274725274725,0.9436813186813187,0.9656593406593407
UGA_flucast-INFLAenza,2,0.8909090909090909,48,0.762,73.1,0.825,0.443,0.891,0.008012820512820512,0.015224358974358974,0.035256410256410256,0.07131410256410256,0.10817307692307693,0.15384615384615385,0.19391025641025642,0.24439102564102563,0.28685897435897434,0.3269230769230769,0.37099358974358976,0.40865384615384615,0.4479166666666667,0.5,0.5400641025641025,0.5785256410256411,0.6201923076923077,0.6658653846153846,0.7131410256410257,0.7740384615384616,0.8541666666666666,0.9022435897435898,0.9415064102564102
FluSight-ensemble,0,1,19.6,0.767,30.4,0.883,0.57,0.946,0.012599469496021221,0.019230769230769232,0.025198938992042442,0.05106100795755968,0.07824933687002653,0.11339522546419098,0.16976127320954906,0.22148541114058357,0.27519893899204245,0.3249336870026525,0.3839522546419098,0.4462864721485411,0.4993368700265252,0.5550397877984085,0.6061007957559682,0.6591511936339522,0.7281167108753316,0.7771883289124668,0.8309018567639257,0.8740053050397878,0.9330238726790451,0.9542440318302388,0.9787798408488063
UGA_flucast-INFLAenza,1,0.8909090909090909,35.1,0.768,54.9,0.871,0.488,0.926,0.012307692307692308,0.023076923076923078,0.03307692307692308,0.07923076923076923,0.12307692307692308,0.15846153846153846,0.20153846153846153,0.24923076923076923,0.28846153846153844,0.3446153846153846,0.3953846153846154,0.44076923076923075,0.48615384615384616,0.5292307692307693,0.573076923076923,0.6184615384615385,0.666923076923077,0.7223076923076923,0.7807692307692308,0.84,0.9084615384615384,0.936923076923077,0.9592307692307692
MOBS-GLEAM_FLUH,2,0.977972027972028,45.8,0.774,68,0.818,0.301,0.765,0.019664967225054626,0.03423160961398398,0.05826656955571741,0.10342316096139839,0.14639475600874,0.17188638018936636,0.19737800436999273,0.22359796067006554,0.24763292061179898,0.27312454479242537,0.30954115076474875,0.3350327749453751,0.36270939548434084,0.39184268026219954,0.4297159504734159,0.4588492352512746,0.493809176984705,0.5469774217042972,0.596504005826657,0.6605972323379461,0.7407137654770576,0.7967953386744355,0.8404952658412236
UGA_flucast-INFLAenza,3,0.8909090909090909,60.1,0.781,89.2,0.812,0.402,0.855,0.005016722408026756,0.010033444816053512,0.029264214046822744,0.061872909698996656,0.09364548494983277,0.14130434782608695,0.18896321070234115,0.23327759197324416,0.27424749163879597,0.31438127090301005,0.3486622073578595,0.39464882943143814,0.42474916387959866,0.4523411371237458,0.49331103678929766,0.5392976588628763,0.5744147157190636,0.6153846153846154,0.6605351170568562,0.7148829431438127,0.794314381270903,0.8612040133779264,0.9180602006688964
UGA_flucast-INFLAenza,0,0.8909090909090909,21.1,0.783,32.5,0.893,0.572,0.955,0.016272189349112426,0.023668639053254437,0.04215976331360947,0.06878698224852071,0.10502958579881656,0.15606508875739644,0.20710059171597633,0.26331360946745563,0.3165680473372781,0.36168639053254437,0.4208579881656805,0.4630177514792899,0.5140532544378699,0.5754437869822485,0.6294378698224852,0.6923076923076923,0.742603550295858,0.790680473372781,0.8446745562130178,0.8927514792899408,0.9386094674556213,0.9674556213017751,0.9807692307692307
MOBS-GLEAM_FLUH,3,0.977972027972028,57,0.786,81.2,0.786,0.306,0.7,0.02042360060514372,0.037821482602118005,0.05521936459909228,0.08698940998487141,0.11195158850226929,0.14296520423600606,0.1686838124054463,0.19062027231467474,0.22692889561270801,0.25491679273827533,0.27987897125567324,0.3101361573373676,0.33434190620272314,0.36459909228441756,0.4062027231467474,0.4394856278366112,0.4689863842662632,0.510590015128593,0.5537065052950075,0.6059001512859304,0.6898638426626323,0.735249621785174,0.7813918305597579
MIGHTE-Nsemble,1,1,33.5,0.789,51.2,0.874,0.578,0.948,0.015796703296703296,0.021291208791208792,0.03777472527472527,0.07898351648351648,0.12225274725274725,0.15934065934065933,0.20810439560439561,0.2651098901098901,0.3118131868131868,0.37637362637362637,0.4340659340659341,0.5,0.5528846153846154,0.6146978021978022,0.6620879120879121,0.7259615384615384,0.782967032967033,0.8207417582417582,0.8605769230769231,0.9004120879120879,0.9402472527472527,0.9622252747252747,0.9773351648351648
MOBS-GLEAM_FLUH,1,0.977972027972028,35.2,0.817,54.3,0.913,0.363,0.814,0.03089887640449438,0.046348314606741575,0.060393258426966294,0.10674157303370786,0.13904494382022473,0.16713483146067415,0.20997191011235955,0.24367977528089887,0.27457865168539325,0.3082865168539326,0.3398876404494382,0.3728932584269663,0.4058988764044944,0.4431179775280899,0.47542134831460675,0.5189606741573034,0.5688202247191011,0.6172752808988764,0.6573033707865169,0.7247191011235955,0.8075842696629213,0.8574438202247191,0.8939606741573034
PSI-PROF,2,1,47.5,0.817,72.2,0.884,0.444,0.854,0.04843304843304843,0.06766381766381767,0.08547008547008547,0.12037037037037036,0.150997150997151,0.18233618233618235,0.2143874643874644,0.24857549857549857,0.2792022792022792,0.3198005698005698,0.36396011396011396,0.40954415954415957,0.4594017094017094,0.5085470085470085,0.5662393162393162,0.6075498575498576,0.6474358974358975,0.6965811965811965,0.7492877492877493,0.8105413105413105,0.8796296296296297,0.9131054131054132,0.9344729344729344
PSI-PROF,3,1,58.1,0.817,89.1,0.881,0.429,0.85,0.04807692307692308,0.05695266272189349,0.08062130177514792,0.11464497041420119,0.14571005917159763,0.17677514792899407,0.20636094674556213,0.23668639053254437,0.2640532544378698,0.3047337278106509,0.35650887573964496,0.41050295857988167,0.45636094674556216,0.4948224852071006,0.5310650887573964,0.5754437869822485,0.6272189349112426,0.6693786982248521,0.7196745562130178,0.7795857988165681,0.8579881656804734,0.8994082840236687,0.9193786982248521
