model,horizon,reference_date,prop,wis,wis_scaled_relative_skill,ae_median,ae_median_scaled_relative_skill,interval_coverage_50,interval_coverage_95,q_coverage_0.010,q_coverage_0.025,q_coverage_0.050,q_coverage_0.100,q_coverage_0.150,q_coverage_0.200,q_coverage_0.250,q_coverage_0.300,q_coverage_0.350,q_coverage_0.400,q_coverage_0.450,q_coverage_0.500,q_coverage_0.550,q_coverage_0.600,q_coverage_0.650,q_coverage_0.700,q_coverage_0.750,q_coverage_0.800,q_coverage_0.850,q_coverage_0.900,q_coverage_0.950,q_coverage_0.975,q_coverage_0.990
MOBS-GLEAM_FLUH,3,2024-04-06,0.9782051282051282,7.7,0.215,10.6,0.18,0.51,0.863,0,0.0196078431372549,0.0196078431372549,0.058823529411764705,0.0784313725490196,0.17647058823529413,0.2549019607843137,0.29411764705882354,0.3333333333333333,0.39215686274509803,0.4117647058823529,0.49019607843137253,0.5098039215686274,0.5686274509803921,0.6078431372549019,0.6666666666666666,0.6862745098039216,0.7254901960784313,0.7254901960784313,0.7647058823529411,0.8627450980392157,0.8823529411764706,0.9215686274509803
MOBS-GLEAM_FLUH,2,2024-04-13,0.9782051282051282,7.99,0.246,11.4,0.227,0.49,0.863,0,0.0392156862745098,0.058823529411764705,0.11764705882352941,0.21568627450980393,0.23529411764705882,0.27450980392156865,0.3137254901960784,0.39215686274509803,0.43137254901960786,0.45098039215686275,0.5490196078431373,0.5490196078431373,0.5882352941176471,0.6666666666666666,0.6666666666666666,0.7450980392156863,0.7843137254901961,0.8627450980392157,0.8823529411764706,0.8823529411764706,0.9019607843137255,0.9411764705882353
MOBS-GLEAM_FLUH,2,2024-04-06,0.9782051282051282,7.5,0.247,11.7,0.238,0.451,0.922,0,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.0784313725490196,0.13725490196078433,0.19607843137254902,0.23529411764705882,0.2549019607843137,0.29411764705882354,0.4117647058823529,0.45098039215686275,0.45098039215686275,0.45098039215686275,0.5098039215686274,0.6078431372549019,0.6274509803921569,0.6666666666666666,0.7647058823529411,0.7843137254901961,0.8627450980392157,0.9411764705882353,0.9803921568627451
MOBS-GLEAM_FLUH,3,2024-03-09,0.9782051282051282,15.9,0.252,24.8,0.256,0.529,0.941,0,0,0,0,0,0,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.0392156862745098,0.0784313725490196,0.11764705882352941,0.13725490196078433,0.27450980392156865,0.4117647058823529,0.47058823529411764,0.5490196078431373,0.6078431372549019,0.7254901960784313,0.7647058823529411,0.9215686274509803,0.9411764705882353,0.9411764705882353
MOBS-GLEAM_FLUH,1,2024-04-13,0.9782051282051282,6.75,0.255,10.3,0.252,0.549,0.961,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.058823529411764705,0.11764705882352941,0.1568627450980392,0.21568627450980393,0.2549019607843137,0.37254901960784315,0.39215686274509803,0.47058823529411764,0.5294117647058824,0.5686274509803921,0.5686274509803921,0.6078431372549019,0.6470588235294118,0.7254901960784313,0.7647058823529411,0.7843137254901961,0.8627450980392157,0.9607843137254902,0.9803921568627451,0.9803921568627451
MOBS-GLEAM_FLUH,2,2024-03-09,0.9782051282051282,15.7,0.262,20.7,0.234,0.627,0.961,0,0,0,0.0196078431372549,0.0392156862745098,0.0392156862745098,0.058823529411764705,0.058823529411764705,0.09803921568627451,0.19607843137254902,0.2549019607843137,0.29411764705882354,0.35294117647058826,0.47058823529411764,0.6078431372549019,0.6666666666666666,0.6862745098039216,0.7843137254901961,0.8235294117647058,0.8431372549019608,0.9215686274509803,0.9607843137254902,0.9607843137254902
MOBS-GLEAM_FLUH,3,2024-03-16,0.9782051282051282,13.7,0.264,20.3,0.25,0.392,0.804,0,0,0,0.0196078431372549,0.0196078431372549,0.058823529411764705,0.09803921568627451,0.11764705882352941,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.23529411764705882,0.3333333333333333,0.4117647058823529,0.47058823529411764,0.47058823529411764,0.49019607843137253,0.5490196078431373,0.6078431372549019,0.6666666666666666,0.7254901960784313,0.803921568627451,0.8823529411764706
MOBS-GLEAM_FLUH,3,2024-03-30,0.9782051282051282,10.2,0.281,14.9,0.249,0.373,0.725,0.0196078431372549,0.0392156862745098,0.0392156862745098,0.09803921568627451,0.11764705882352941,0.13725490196078433,0.13725490196078433,0.17647058823529413,0.29411764705882354,0.3137254901960784,0.35294117647058826,0.39215686274509803,0.43137254901960786,0.47058823529411764,0.47058823529411764,0.49019607843137253,0.5098039215686274,0.5882352941176471,0.6274509803921569,0.6666666666666666,0.7254901960784313,0.7647058823529411,0.8431372549019608
UMass-flusion,3,2024-04-06,0.9993589743589744,10.2,0.287,10.2,0.176,0.769,1,0,0,0,0,0.038461538461538464,0.07692307692307693,0.15384615384615385,0.17307692307692307,0.25,0.3076923076923077,0.40384615384615385,0.5769230769230769,0.8076923076923077,0.8653846153846154,0.8846153846153846,0.9230769230769231,0.9230769230769231,0.9615384615384616,0.9615384615384616,1,1,1,1
UNC_IDD-InfluPaint,3,2024-03-16,0.7846153846153846,15.2,0.292,24.1,0.295,0.569,0.98,0.0196078431372549,0.0196078431372549,0.0784313725490196,0.0784313725490196,0.09803921568627451,0.1568627450980392,0.21568627450980393,0.2549019607843137,0.39215686274509803,0.45098039215686275,0.49019607843137253,0.49019607843137253,0.5882352941176471,0.6274509803921569,0.6862745098039216,0.7450980392156863,0.7843137254901961,0.8235294117647058,0.9215686274509803,0.9411764705882353,0.9803921568627451,1,1
