model,horizon,prop,wis,wis_scaled_relative_skill,ae_median,ae_median_scaled_relative_skill,interval_coverage_50,interval_coverage_95,q_coverage_0.010,q_coverage_0.025,q_coverage_0.050,q_coverage_0.100,q_coverage_0.150,q_coverage_0.200,q_coverage_0.250,q_coverage_0.300,q_coverage_0.350,q_coverage_0.400,q_coverage_0.450,q_coverage_0.500,q_coverage_0.550,q_coverage_0.600,q_coverage_0.650,q_coverage_0.700,q_coverage_0.750,q_coverage_0.800,q_coverage_0.850,q_coverage_0.900,q_coverage_0.950,q_coverage_0.975,q_coverage_0.990
UMass-gbq_qr_no_reporting_adj,3,1,29.4,0.532,44.2,0.56,0.557,0.962,0.007123775601068566,0.016028495102404273,0.028495102404274265,0.06144256455921639,0.09349955476402494,0.13178984861976847,0.19145146927871773,0.25467497773820125,0.3241317898486198,0.3935886019590383,0.44968833481745324,0.5040071237756011,0.5645592163846839,0.6108637577916296,0.6731967943009796,0.717720391807658,0.748886910062333,0.7889581478183437,0.8272484416740873,0.8851291184327693,0.9332146037399822,0.9741763134461264,0.9928762243989314
UMass-gbq_qr_no_transform,3,1,29.8,0.538,45.2,0.572,0.547,0.955,0.015138023152270703,0.02404274265360641,0.03383793410507569,0.06856634016028496,0.10151380231522707,0.1522707034728406,0.21816562778272486,0.3143365983971505,0.3722172751558326,0.4363312555654497,0.4790739091718611,0.5512021371326803,0.5877114870881567,0.6313446126447017,0.6714158504007124,0.7230632235084595,0.7649154051647373,0.8040961709706145,0.8521816562778273,0.9056099732858415,0.9456812110418522,0.9759572573463936,0.9919857524487978
UMass-gbq_qr,3,1,30,0.542,45.1,0.571,0.554,0.959,0.007123775601068566,0.01157613535173642,0.020480854853072127,0.04452359750667854,0.10240427426536064,0.15672306322350846,0.23597506678539626,0.2965271593944791,0.3579697239536955,0.42030276046304543,0.47996438112199463,0.5333926981300089,0.5921638468388246,0.649154051647373,0.692787177203918,0.742653606411398,0.7898486197684773,0.8334817453250223,0.8735529830810329,0.9109528049866429,0.9367764915405165,0.9670525378450578,0.9910952804986642
UMass-gbq_qr_no_reporting_adj,2,1,24.4,0.555,37.1,0.598,0.543,0.943,0.011073253833049404,0.03321976149914821,0.05706984667802385,0.08432708688245315,0.131175468483816,0.1746166950596252,0.22913117546848383,0.2981260647359455,0.358603066439523,0.42078364565587734,0.47614991482112434,0.5323679727427598,0.5868824531516184,0.6354344122657581,0.6848381601362862,0.7240204429301533,0.7717206132879046,0.813458262350937,0.8560477001703578,0.8867120954003407,0.9301533219761499,0.9710391822827938,0.9940374787052811
UMass-gbq_qr,2,1,25,0.566,38.7,0.623,0.542,0.951,0.008517887563884156,0.01788756388415673,0.03151618398637138,0.06643952299829642,0.11158432708688246,0.1797274275979557,0.2555366269165247,0.3373083475298126,0.39267461669505965,0.46337308347529815,0.5119250425894378,0.5604770017035775,0.6022146507666098,0.6669505962521295,0.7137989778534923,0.7640545144804088,0.797274275979557,0.838160136286201,0.8816013628620102,0.9105621805792163,0.9361158432708688,0.9633730834752982,0.9923339011925043
UMass-gbq_qr_no_reporting_adj,1,1,18.5,0.589,28.8,0.665,0.502,0.936,0.01557377049180328,0.03770491803278689,0.06147540983606557,0.09836065573770492,0.14426229508196722,0.19344262295081968,0.2614754098360656,0.32049180327868854,0.3836065573770492,0.43278688524590164,0.48278688524590163,0.5319672131147541,0.5926229508196721,0.6368852459016393,0.6868852459016394,0.7270491803278688,0.7639344262295082,0.8040983606557377,0.8467213114754099,0.8868852459016393,0.930327868852459,0.9680327868852459,0.989344262295082
UMass-gbq_qr_no_transform,2,1,26,0.59,40.5,0.651,0.49,0.94,0.015332197614991482,0.028960817717206135,0.054514480408858604,0.08347529812606473,0.13287904599659284,0.20528109028960817,0.28960817717206133,0.3696763202725724,0.42248722316865417,0.4778534923339012,0.5212947189097104,0.5775127768313458,0.6141396933560477,0.6533219761499148,0.6916524701873935,0.7350936967632027,0.7793867120954003,0.8245315161839863,0.8671209540034072,0.9054514480408858,0.9352640545144804,0.9642248722316865,0.9889267461669506
UMass-gbq_qr,1,1,18.8,0.601,28.9,0.669,0.539,0.955,0.010655737704918032,0.019672131147540985,0.027049180327868853,0.06229508196721312,0.12049180327868853,0.18524590163934426,0.2573770491803279,0.33934426229508197,0.3975409836065574,0.4532786885245902,0.5073770491803279,0.5565573770491803,0.6139344262295082,0.6704918032786885,0.7180327868852459,0.7614754098360655,0.7959016393442623,0.8360655737704918,0.8811475409836066,0.9139344262295082,0.9385245901639344,0.969672131147541,0.9885245901639345
UMass-gbq_qr_no_transform,1,1,20.2,0.647,31.5,0.728,0.477,0.952,0.014754098360655738,0.027049180327868853,0.045081967213114756,0.09180327868852459,0.15901639344262294,0.22868852459016392,0.3,0.36475409836065575,0.4262295081967213,0.48278688524590163,0.5286885245901639,0.5770491803278689,0.6024590163934426,0.6557377049180327,0.6942622950819672,0.7327868852459016,0.7770491803278688,0.8155737704918032,0.8631147540983607,0.9081967213114754,0.9475409836065574,0.9729508196721312,0.9877049180327869
UMass-gbq_qr_no_reporting_adj,0,1,12.2,0.69,18.9,0.787,0.477,0.928,0.01892744479495268,0.03943217665615142,0.062302839116719244,0.10252365930599369,0.15772870662460567,0.21451104100946372,0.26419558359621453,0.31545741324921134,0.37066246056782337,0.4274447949526814,0.48186119873817035,0.5283911671924291,0.5694006309148265,0.6151419558359621,0.6537854889589906,0.695583596214511,0.7413249211356467,0.7736593059936908,0.8170347003154574,0.8651419558359621,0.9266561514195584,0.9582018927444795,0.9905362776025236
