model,prop,wis,wis_scaled_relative_skill,ae_median,ae_median_scaled_relative_skill,interval_coverage_50,interval_coverage_95,q_coverage_0.010,q_coverage_0.025,q_coverage_0.050,q_coverage_0.100,q_coverage_0.150,q_coverage_0.200,q_coverage_0.250,q_coverage_0.300,q_coverage_0.350,q_coverage_0.400,q_coverage_0.450,q_coverage_0.500,q_coverage_0.550,q_coverage_0.600,q_coverage_0.650,q_coverage_0.700,q_coverage_0.750,q_coverage_0.800,q_coverage_0.850,q_coverage_0.900,q_coverage_0.950,q_coverage_0.975,q_coverage_0.990
UMass-gbq_qr,1,21.3,0.583,32.4,0.632,0.544,0.952,0.010240334378265412,0.018808777429467086,0.028422152560083593,0.06185997910135841,0.11368861024033437,0.17262277951933125,0.24535005224660397,0.31786833855799373,0.37763845350052244,0.4394984326018809,0.4934169278996865,0.5442006269592476,0.5966562173458725,0.6589341692789968,0.7055381400208987,0.7521421107628005,0.7895506792058516,0.8313479623824451,0.8739811912225706,0.9084639498432602,0.9343782654127482,0.9650992685475445,0.9897596656217346
UMass-gbq_qr_fit_locations_separately,1,25.5,0.701,39.3,0.768,0.34,0.895,0.016091954022988506,0.04096133751306165,0.09153605015673981,0.18474399164054336,0.25475444096133754,0.31159874608150473,0.3571577847439916,0.3991640543364681,0.43761755485893417,0.4737722048066876,0.5109717868338558,0.5477533960292581,0.5780564263322884,0.6114942528735632,0.6407523510971787,0.6679205851619645,0.6959247648902821,0.7293625914315569,0.7684430512016719,0.8117032392894462,0.8729362591431556,0.929153605015674,0.9707419017763845
FluSight-baseline,1,36.4,1,51.2,1,0.308,0.903,0.02612330198537095,0.042842215256008356,0.07774294670846395,0.17157784743991641,0.2501567398119122,0.3113897596656217,0.35360501567398117,0.38746081504702196,0.4148380355276907,0.4403343782654128,0.4637408568443051,0.48923719958202716,0.5145245559038663,0.5442006269592476,0.5759665621734588,0.6081504702194357,0.645350052246604,0.6821316614420063,0.7283176593521421,0.7947753396029258,0.8923719958202717,0.9373040752351097,0.9584117032392895
