model,horizon,reference_date,prop,wis,wis_scaled_relative_skill,ae_median,ae_median_scaled_relative_skill,interval_coverage_50,interval_coverage_95,q_coverage_0.010,q_coverage_0.025,q_coverage_0.050,q_coverage_0.100,q_coverage_0.150,q_coverage_0.200,q_coverage_0.250,q_coverage_0.300,q_coverage_0.350,q_coverage_0.400,q_coverage_0.450,q_coverage_0.500,q_coverage_0.550,q_coverage_0.600,q_coverage_0.650,q_coverage_0.700,q_coverage_0.750,q_coverage_0.800,q_coverage_0.850,q_coverage_0.900,q_coverage_0.950,q_coverage_0.975,q_coverage_0.990
MOBS-GLEAM_FLUH,2,2024-04-06,0.9753396029258098,6.28,0.235,9.65,0.227,0.467,0.933,0,0.022222222222222223,0.022222222222222223,0.044444444444444446,0.08888888888888889,0.15555555555555556,0.17777777777777778,0.2222222222222222,0.24444444444444444,0.28888888888888886,0.4,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5111111111111111,0.6,0.6222222222222222,0.6666666666666666,0.7777777777777778,0.8,0.8666666666666667,0.9555555555555556,0.9777777777777777
MOBS-GLEAM_FLUH,3,2024-04-06,0.9753396029258098,7.38,0.237,10,0.202,0.489,0.844,0,0.022222222222222223,0.022222222222222223,0.06666666666666667,0.06666666666666667,0.17777777777777778,0.26666666666666666,0.28888888888888886,0.3111111111111111,0.35555555555555557,0.37777777777777777,0.4666666666666667,0.4888888888888889,0.5555555555555556,0.5777777777777777,0.6444444444444445,0.6666666666666666,0.6888888888888889,0.6888888888888889,0.7333333333333333,0.8444444444444444,0.8666666666666667,0.9111111111111111
MOBS-GLEAM_FLUH,2,2024-04-13,0.9753396029258098,7.93,0.24,11.3,0.221,0.5,0.88,0,0.04,0.06,0.12,0.22,0.24,0.28,0.32,0.4,0.44,0.46,0.56,0.56,0.6,0.68,0.68,0.76,0.8,0.88,0.9,0.9,0.92,0.94
MOBS-GLEAM_FLUH,1,2024-04-13,0.9753396029258098,6.77,0.251,10.2,0.248,0.56,0.96,0.02,0.02,0.02,0.06,0.12,0.16,0.22,0.26,0.38,0.4,0.48,0.54,0.58,0.58,0.62,0.66,0.74,0.78,0.8,0.88,0.96,0.98,0.98
MOBS-GLEAM_FLUH,3,2024-03-16,0.9753396029258098,10.9,0.277,16.2,0.264,0.395,0.791,0,0,0,0.023255813953488372,0.023255813953488372,0.06976744186046512,0.09302325581395349,0.11627906976744186,0.18604651162790697,0.18604651162790697,0.18604651162790697,0.20930232558139536,0.3023255813953488,0.3953488372093023,0.46511627906976744,0.46511627906976744,0.4883720930232558,0.5348837209302325,0.5813953488372093,0.6511627906976745,0.7209302325581395,0.7906976744186046,0.8604651162790697
MOBS-GLEAM_FLUH,3,2024-03-09,0.9753396029258098,13.2,0.279,21.4,0.302,0.488,0.93,0,0,0,0,0,0,0.023255813953488372,0.023255813953488372,0.046511627906976744,0.046511627906976744,0.09302325581395349,0.09302325581395349,0.11627906976744186,0.2558139534883721,0.3953488372093023,0.4418604651162791,0.5116279069767442,0.5581395348837209,0.6744186046511628,0.7209302325581395,0.9069767441860465,0.9302325581395349,0.9302325581395349
MOBS-GLEAM_FLUH,3,2024-03-30,0.9753396029258098,9.53,0.288,14.1,0.262,0.37,0.717,0.021739130434782608,0.043478260869565216,0.043478260869565216,0.10869565217391304,0.13043478260869565,0.15217391304347827,0.15217391304347827,0.1956521739130435,0.32608695652173914,0.32608695652173914,0.3695652173913043,0.41304347826086957,0.43478260869565216,0.4782608695652174,0.4782608695652174,0.5,0.5217391304347826,0.6086956521739131,0.6521739130434783,0.6956521739130435,0.7391304347826086,0.7608695652173914,0.8478260869565217
MOBS-GLEAM_FLUH,2,2024-03-09,0.9753396029258098,12.7,0.292,17.6,0.277,0.558,0.953,0,0,0,0.023255813953488372,0.046511627906976744,0.046511627906976744,0.06976744186046512,0.06976744186046512,0.06976744186046512,0.16279069767441862,0.20930232558139536,0.23255813953488372,0.3023255813953488,0.4186046511627907,0.5581395348837209,0.6046511627906976,0.627906976744186,0.7441860465116279,0.7906976744186046,0.813953488372093,0.9069767441860465,0.9534883720930233,0.9534883720930233
UNC_IDD-InfluPaint,3,2024-03-16,0.7404388714733542,11.6,0.293,18.1,0.29,0.605,0.977,0.023255813953488372,0.023255813953488372,0.09302325581395349,0.09302325581395349,0.11627906976744186,0.18604651162790697,0.2558139534883721,0.3023255813953488,0.46511627906976744,0.5348837209302325,0.5813953488372093,0.5813953488372093,0.6976744186046512,0.7209302325581395,0.7906976744186046,0.8372093023255814,0.8604651162790697,0.8837209302325582,0.9302325581395349,0.9534883720930233,1,1,1
NU_UCSD-GLEAM_AI_FLUH,3,2024-03-09,0.6833855799373041,14.1,0.298,20,0.28,0.674,0.977,0,0,0,0,0,0.023255813953488372,0.06976744186046512,0.20930232558139536,0.2558139534883721,0.3488372093023256,0.37209302325581395,0.46511627906976744,0.5813953488372093,0.6046511627906976,0.6511627906976745,0.7441860465116279,0.7441860465116279,0.813953488372093,0.9069767441860465,0.9069767441860465,0.9767441860465116,0.9767441860465116,1
