model,horizon,prop,wis,wis_scaled_relative_skill,ae_median,ae_median_scaled_relative_skill,interval_coverage_50,interval_coverage_95,q_coverage_0.010,q_coverage_0.025,q_coverage_0.050,q_coverage_0.100,q_coverage_0.150,q_coverage_0.200,q_coverage_0.250,q_coverage_0.300,q_coverage_0.350,q_coverage_0.400,q_coverage_0.450,q_coverage_0.500,q_coverage_0.550,q_coverage_0.600,q_coverage_0.650,q_coverage_0.700,q_coverage_0.750,q_coverage_0.800,q_coverage_0.850,q_coverage_0.900,q_coverage_0.950,q_coverage_0.975,q_coverage_0.990
UMass-flusion__gbq_qr_no_level__sarix,3,1,33.9,0.613,53.7,0.68,0.564,0.977,0.007123775601068566,0.0089047195013357075,0.03294746215494212,0.07658058771148708,0.1006233303650935,0.1549421193232413,0.19679430097951914,0.25556544968833483,0.3089937666963491,0.371326803205699,0.4238646482635797,0.4853072128227961,0.5342831700801425,0.6019590382902938,0.6651825467497774,0.717720391807658,0.7604630454140695,0.8085485307212823,0.8566340160284951,0.9056099732858415,0.9510240427426536,0.9821905609973286,0.9964381121994658
UMass-flusion__gbq_qr__sarix,1,1,19.3,0.616,29.1,0.673,0.568,0.965,0.010655737704918032,0.014754098360655738,0.02540983606557377,0.054098360655737705,0.08934426229508197,0.14672131147540984,0.20327868852459016,0.24918032786885247,0.3073770491803279,0.36721311475409835,0.42950819672131146,0.5122950819672131,0.5672131147540984,0.6319672131147541,0.680327868852459,0.7237704918032787,0.771311475409836,0.8245901639344262,0.8696721311475409,0.9073770491803279,0.9459016393442623,0.9745901639344262,0.989344262295082
UMass-flusion,1,1,19.4,0.618,29.6,0.685,0.558,0.961,0.010655737704918032,0.018852459016393444,0.03442622950819672,0.06557377049180328,0.10573770491803279,0.16147540983606556,0.22459016393442624,0.2836065573770492,0.34508196721311474,0.4065573770491803,0.4598360655737705,0.5336065573770492,0.5926229508196721,0.6442622950819672,0.6893442622950819,0.7385245901639345,0.7827868852459017,0.8344262295081967,0.8704918032786885,0.9114754098360656,0.9508196721311475,0.9745901639344262,0.990983606557377
UMass-gbq_qr_no_level,3,1,35.3,0.639,54.2,0.686,0.519,0.97,0.014247551202137132,0.029385574354407838,0.0730186999109528,0.13089937666963491,0.17542297417631345,0.2315227070347284,0.2902938557435441,0.3570792520035619,0.41674087266251114,0.4790739091718611,0.5325022261798753,0.6028495102404274,0.6509349955476402,0.6892252894033838,0.723953695458593,0.7729296527159395,0.8094390026714159,0.8459483526268923,0.8806767586821015,0.931433659839715,0.9697239536954586,0.9955476402493322,0.9991095280498664
UMass-flusion__gbq_qr_no_level__sarix,2,1,28.3,0.643,44.3,0.714,0.544,0.973,0.008517887563884156,0.013628620102214651,0.04258943781942078,0.0817717206132879,0.131175468483816,0.17291311754684838,0.22061328790459966,0.26916524701873934,0.31771720613287907,0.379045996592845,0.42078364565587734,0.48126064735945484,0.5434412265758092,0.610732538330494,0.6592844974446337,0.7155025553662692,0.7649063032367973,0.8057921635434412,0.8415672913117547,0.8926746166950597,0.9505962521294719,0.9821124361158433,0.9940374787052811
UMass-gbq_qr_no_level,2,1,28.6,0.649,44.1,0.709,0.518,0.948,0.017035775127768313,0.04599659284497445,0.09028960817717206,0.14224872231686542,0.19080068143100512,0.24787052810902896,0.28620102214650767,0.348381601362862,0.4080068143100511,0.4838160136286201,0.5195911413969335,0.58603066439523,0.6337308347529813,0.6873935264054515,0.7325383304940375,0.772572402044293,0.8040885860306644,0.8407155025553663,0.8671209540034072,0.9063032367972743,0.9565587734241908,0.989778534923339,0.9991482112436116
UMass-gbq_qr_no_level,1,1,20.9,0.667,32,0.739,0.53,0.938,0.019672131147540985,0.04426229508196721,0.08032786885245902,0.12950819672131147,0.17868852459016393,0.2278688524590164,0.27459016393442626,0.3295081967213115,0.3901639344262295,0.4532786885245902,0.5081967213114754,0.5680327868852459,0.6196721311475409,0.6729508196721311,0.7122950819672131,0.7573770491803279,0.8049180327868852,0.8426229508196721,0.8696721311475409,0.909016393442623,0.9467213114754098,0.9762295081967213,0.9934426229508196
UMass-flusion__gbq_qr_no_level__sarix,1,1,21.4,0.683,32.7,0.756,0.539,0.953,0.013114754098360656,0.023770491803278688,0.05081967213114754,0.07459016393442623,0.10901639344262296,0.16147540983606556,0.22295081967213115,0.28114754098360656,0.32786885245901637,0.37459016393442623,0.43278688524590164,0.49918032786885247,0.5614754098360656,0.6147540983606558,0.6573770491803279,0.7081967213114754,0.7614754098360655,0.8024590163934426,0.8532786885245902,0.8942622950819672,0.9450819672131148,0.9713114754098361,0.9885245901639345
UMass-flusion__gbq_qr__gbq_qr_no_level,0,1,12.1,0.684,18.1,0.753,0.554,0.95,0.01498422712933754,0.025236593059936908,0.03627760252365931,0.08201892744479496,0.12460567823343849,0.17350157728706625,0.23659305993690852,0.29652996845425866,0.36514195583596215,0.4227129337539432,0.48580441640378547,0.5473186119873817,0.5970031545741324,0.6537854889589906,0.7011041009463722,0.7460567823343849,0.7902208201892744,0.832018927444795,0.8777602523659306,0.9077287066246057,0.9376971608832808,0.9676656151419558,0.9921135646687698
UMass-flusion,0,1,12.1,0.686,18.5,0.767,0.558,0.956,0.015772870662460567,0.021293375394321766,0.02996845425867508,0.0638801261829653,0.11277602523659307,0.15694006309148265,0.2113564668769716,0.27208201892744477,0.3249211356466877,0.3872239747634069,0.44637223974763407,0.5086750788643533,0.5670347003154574,0.6198738170347003,0.6719242902208202,0.7208201892744479,0.7697160883280757,0.8138801261829653,0.8643533123028391,0.9053627760252366,0.9384858044164038,0.9700315457413249,0.9913249211356467
