model,horizon,reference_date,prop,wis,wis_scaled_relative_skill,ae_median,ae_median_scaled_relative_skill,interval_coverage_50,interval_coverage_95,q_coverage_0.010,q_coverage_0.025,q_coverage_0.050,q_coverage_0.100,q_coverage_0.150,q_coverage_0.200,q_coverage_0.250,q_coverage_0.300,q_coverage_0.350,q_coverage_0.400,q_coverage_0.450,q_coverage_0.500,q_coverage_0.550,q_coverage_0.600,q_coverage_0.650,q_coverage_0.700,q_coverage_0.750,q_coverage_0.800,q_coverage_0.850,q_coverage_0.900,q_coverage_0.950,q_coverage_0.975,q_coverage_0.990
UMass-gbq_qr_no_reporting_adj,3,2024-04-06,1,8.63,0.242,12.6,0.217,0.635,0.962,0,0.019230769230769232,0.057692307692307696,0.11538461538461539,0.17307692307692307,0.23076923076923078,0.2692307692307692,0.34615384615384615,0.4423076923076923,0.5576923076923077,0.6923076923076923,0.7115384615384616,0.7692307692307693,0.8461538461538461,0.8653846153846154,0.8846153846153846,0.9038461538461539,0.9230769230769231,0.9423076923076923,0.9423076923076923,0.9807692307692307,0.9807692307692307,1
UMass-gbq_qr_no_reporting_adj,3,2024-01-13,1,28.2,0.249,36.8,0.237,0.744,0.977,0.023255813953488372,0.023255813953488372,0.046511627906976744,0.06976744186046512,0.11627906976744186,0.11627906976744186,0.11627906976744186,0.18604651162790697,0.23255813953488372,0.32558139534883723,0.3488372093023256,0.3953488372093023,0.5116279069767442,0.6511627906976745,0.7674418604651163,0.8372093023255814,0.8604651162790697,0.9302325581395349,1,1,1,1,1
UMass-gbq_qr_no_reporting_adj,3,2024-03-16,1,12.9,0.249,17.3,0.213,0.824,1,0,0,0,0.0196078431372549,0.09803921568627451,0.09803921568627451,0.13725490196078433,0.19607843137254902,0.3333333333333333,0.39215686274509803,0.47058823529411764,0.5882352941176471,0.6470588235294118,0.6666666666666666,0.8431372549019608,0.9215686274509803,0.9607843137254902,0.9803921568627451,1,1,1,1,1
UMass-gbq_qr_no_transform,3,2024-03-30,1,7.95,0.257,12.5,0.246,0.562,0.958,0.020833333333333332,0.041666666666666664,0.041666666666666664,0.10416666666666667,0.10416666666666667,0.125,0.20833333333333334,0.25,0.3125,0.3333333333333333,0.3541666666666667,0.4375,0.5208333333333334,0.5416666666666666,0.5833333333333334,0.6666666666666666,0.7708333333333334,0.8541666666666666,0.9375,1,1,1,1
UMass-gbq_qr_hhs_only,1,2024-01-13,1,20.4,0.262,28.6,0.281,0.6,0.95,0.025,0.025,0.025,0.075,0.1,0.1,0.175,0.25,0.325,0.325,0.375,0.425,0.45,0.475,0.625,0.7,0.775,0.85,0.9,0.925,0.95,0.975,0.975
UMass-gbq_qr_no_transform,3,2024-04-06,1,9.43,0.264,13,0.224,0.5,0.865,0.07692307692307693,0.11538461538461539,0.17307692307692307,0.23076923076923078,0.23076923076923078,0.2692307692307692,0.36538461538461536,0.40384615384615385,0.5,0.5384615384615384,0.5576923076923077,0.5769230769230769,0.6153846153846154,0.75,0.7692307692307693,0.8269230769230769,0.8653846153846154,0.9038461538461539,0.9423076923076923,0.9615384615384616,0.9807692307692307,0.9807692307692307,0.9807692307692307
UMass-gbq_qr_no_reporting_adj,3,2024-03-30,1,8.21,0.266,12.5,0.246,0.688,1,0,0,0.020833333333333332,0.08333333333333333,0.14583333333333334,0.14583333333333334,0.16666666666666666,0.20833333333333334,0.22916666666666666,0.2916666666666667,0.3333333333333333,0.4375,0.5,0.5625,0.6666666666666666,0.7916666666666666,0.8541666666666666,0.9166666666666666,0.9583333333333334,1,1,1,1
UMass-gbq_qr,3,2024-04-06,1,9.53,0.267,13.4,0.23,0.712,0.981,0,0,0,0,0.019230769230769232,0.019230769230769232,0.11538461538461539,0.1346153846153846,0.15384615384615385,0.17307692307692307,0.19230769230769232,0.23076923076923078,0.36538461538461536,0.5,0.6923076923076923,0.8076923076923077,0.8269230769230769,0.8846153846153846,0.9230769230769231,0.9615384615384616,0.9807692307692307,0.9807692307692307,1
UMass-gbq_qr_no_reporting_adj,3,2024-03-23,1,9.09,0.273,12.4,0.235,0.652,0.978,0,0.021739130434782608,0.043478260869565216,0.06521739130434782,0.06521739130434782,0.10869565217391304,0.17391304347826086,0.21739130434782608,0.2391304347826087,0.2391304347826087,0.30434782608695654,0.41304347826086957,0.5434782608695652,0.6086956521739131,0.717391304347826,0.782608695652174,0.8260869565217391,0.8913043478260869,0.9565217391304348,1,1,1,1
UMass-gbq_qr_no_reporting_adj,2,2024-04-06,1,7.08,0.273,9.63,0.225,0.562,0.979,0,0.020833333333333332,0.08333333333333333,0.125,0.22916666666666666,0.3125,0.3125,0.3333333333333333,0.3541666666666667,0.4166666666666667,0.5208333333333334,0.625,0.6458333333333334,0.7083333333333334,0.7916666666666666,0.8541666666666666,0.875,0.9791666666666666,1,1,1,1,1
