model,horizon,reference_date,prop,wis,wis_scaled_relative_skill,ae_median,ae_median_scaled_relative_skill,interval_coverage_50,interval_coverage_95,q_coverage_0.010,q_coverage_0.025,q_coverage_0.050,q_coverage_0.100,q_coverage_0.150,q_coverage_0.200,q_coverage_0.250,q_coverage_0.300,q_coverage_0.350,q_coverage_0.400,q_coverage_0.450,q_coverage_0.500,q_coverage_0.550,q_coverage_0.600,q_coverage_0.650,q_coverage_0.700,q_coverage_0.750,q_coverage_0.800,q_coverage_0.850,q_coverage_0.900,q_coverage_0.950,q_coverage_0.975,q_coverage_0.990
UMass-gbq_qr,3,2024-04-06,1,8.19,0.265,10.9,0.22,0.696,0.978,0,0,0,0,0.021739130434782608,0.021739130434782608,0.13043478260869565,0.15217391304347827,0.17391304347826086,0.1956521739130435,0.21739130434782608,0.2608695652173913,0.41304347826086957,0.5,0.6739130434782609,0.8043478260869565,0.8260869565217391,0.8695652173913043,0.9130434782608695,0.9565217391304348,0.9782608695652174,0.9782608695652174,1
UMass-gbq_qr,2,2024-04-06,1,7.43,0.28,10.2,0.242,0.674,1,0,0,0,0,0.043478260869565216,0.06521739130434782,0.10869565217391304,0.15217391304347827,0.17391304347826086,0.30434782608695654,0.391304347826087,0.43478260869565216,0.45652173913043476,0.5652173913043478,0.6304347826086957,0.7608695652173914,0.782608695652174,0.9130434782608695,0.9782608695652174,1,1,1,1
UMass-gbq_qr,3,2024-03-16,1,11.3,0.29,13.4,0.221,0.932,1,0,0,0,0,0,0,0.022727272727272728,0.11363636363636363,0.20454545454545456,0.3181818181818182,0.4090909090909091,0.4318181818181818,0.6136363636363636,0.7045454545454546,0.8409090909090909,0.8863636363636364,0.9545454545454546,1,1,1,1,1,1
UMass-flusion__gbq_qr__gbq_qr_no_level,3,2024-04-06,1,9.09,0.294,12.9,0.26,0.652,0.978,0,0,0.06521739130434782,0.10869565217391304,0.10869565217391304,0.21739130434782608,0.2608695652173913,0.30434782608695654,0.43478260869565216,0.5217391304347826,0.6521739130434783,0.717391304347826,0.7391304347826086,0.8043478260869565,0.8478260869565217,0.8913043478260869,0.9130434782608695,0.9347826086956522,0.9347826086956522,0.9782608695652174,0.9782608695652174,0.9782608695652174,1
UMass-gbq_qr,2,2024-04-13,1,9.66,0.294,13.6,0.267,0.686,1,0,0,0,0.0196078431372549,0.0392156862745098,0.0392156862745098,0.09803921568627451,0.1568627450980392,0.2549019607843137,0.3137254901960784,0.39215686274509803,0.43137254901960786,0.49019607843137253,0.6666666666666666,0.6666666666666666,0.7450980392156863,0.7843137254901961,0.8235294117647058,0.8823529411764706,0.9215686274509803,0.9607843137254902,1,1
UMass-gbq_qr,1,2024-04-13,1,8.12,0.304,11.2,0.272,0.765,1,0,0,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.0784313725490196,0.11764705882352941,0.19607843137254902,0.27450980392156865,0.3137254901960784,0.4117647058823529,0.5294117647058824,0.5490196078431373,0.6666666666666666,0.7647058823529411,0.8431372549019608,0.8823529411764706,0.9411764705882353,0.9411764705882353,0.9607843137254902,1,1,1
UMass-flusion__gbq_qr__gbq_qr_no_level,3,2024-03-30,1,9.99,0.307,14.1,0.266,0.681,1,0,0,0.02127659574468085,0.1276595744680851,0.14893617021276595,0.2127659574468085,0.23404255319148937,0.2978723404255319,0.3404255319148936,0.44680851063829785,0.5319148936170213,0.574468085106383,0.6170212765957447,0.7021276595744681,0.7659574468085106,0.8297872340425532,0.9148936170212766,0.9361702127659575,1,1,1,1,1
UMass-gbq_qr,3,2023-12-09,1,60.5,0.315,88.3,0.379,0.578,0.956,0,0,0,0,0.022222222222222223,0.06666666666666667,0.1111111111111111,0.1111111111111111,0.15555555555555556,0.2,0.28888888888888886,0.37777777777777777,0.4222222222222222,0.4888888888888889,0.5111111111111111,0.5333333333333333,0.6888888888888889,0.8,0.8666666666666667,0.8888888888888888,0.9555555555555556,0.9555555555555556,0.9777777777777777
UMass-flusion__gbq_qr__gbq_qr_no_level,2,2024-04-06,1,8.46,0.319,11.9,0.283,0.674,1,0,0,0.043478260869565216,0.08695652173913043,0.15217391304347827,0.21739130434782608,0.30434782608695654,0.3695652173913043,0.41304347826086957,0.4782608695652174,0.5434782608695652,0.6086956521739131,0.6956521739130435,0.782608695652174,0.8913043478260869,0.9565217391304348,0.9782608695652174,1,1,1,1,1,1
UMass-gbq_qr,3,2024-01-20,1,20.2,0.321,31.7,0.344,0.447,1,0,0,0.02631578947368421,0.02631578947368421,0.13157894736842105,0.15789473684210525,0.21052631578947367,0.3157894736842105,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.39473684210526316,0.4473684210526316,0.5,0.5263157894736842,0.5789473684210527,0.6578947368421053,0.7368421052631579,0.8421052631578947,0.9736842105263158,1,1,1
