model,horizon,reference_date,prop,wis,wis_scaled_relative_skill,ae_median,ae_median_scaled_relative_skill,interval_coverage_50,interval_coverage_95,q_coverage_0.010,q_coverage_0.025,q_coverage_0.050,q_coverage_0.100,q_coverage_0.150,q_coverage_0.200,q_coverage_0.250,q_coverage_0.300,q_coverage_0.350,q_coverage_0.400,q_coverage_0.450,q_coverage_0.500,q_coverage_0.550,q_coverage_0.600,q_coverage_0.650,q_coverage_0.700,q_coverage_0.750,q_coverage_0.800,q_coverage_0.850,q_coverage_0.900,q_coverage_0.950,q_coverage_0.975,q_coverage_0.990
UMass-gbq_qr,3,2024-04-06,1,8.19,0.265,10.9,0.22,0.696,0.978,0,0,0,0,0.021739130434782608,0.021739130434782608,0.13043478260869565,0.15217391304347827,0.17391304347826086,0.1956521739130435,0.21739130434782608,0.2608695652173913,0.41304347826086957,0.5,0.6739130434782609,0.8043478260869565,0.8260869565217391,0.8695652173913043,0.9130434782608695,0.9565217391304348,0.9782608695652174,0.9782608695652174,1
UMass-gbq_qr_fit_locations_separately,3,2024-03-16,1,10.4,0.269,15.6,0.256,0.432,0.955,0,0.045454545454545456,0.06818181818181818,0.20454545454545456,0.22727272727272727,0.22727272727272727,0.29545454545454547,0.36363636363636365,0.36363636363636365,0.4090909090909091,0.4318181818181818,0.45454545454545453,0.5,0.5681818181818182,0.5909090909090909,0.6818181818181818,0.7272727272727273,0.7727272727272727,0.8409090909090909,0.9090909090909091,1,1,1
UMass-gbq_qr_fit_locations_separately,3,2024-03-30,1,9.04,0.278,14.5,0.274,0.468,0.936,0,0.06382978723404255,0.0851063829787234,0.1276595744680851,0.14893617021276595,0.19148936170212766,0.2127659574468085,0.2553191489361702,0.2978723404255319,0.3191489361702128,0.3617021276595745,0.3829787234042553,0.46808510638297873,0.5106382978723404,0.5531914893617021,0.6382978723404256,0.6808510638297872,0.723404255319149,0.8723404255319149,0.9574468085106383,1,1,1
UMass-gbq_qr,2,2024-04-06,1,7.43,0.28,10.2,0.242,0.674,1,0,0,0,0,0.043478260869565216,0.06521739130434782,0.10869565217391304,0.15217391304347827,0.17391304347826086,0.30434782608695654,0.391304347826087,0.43478260869565216,0.45652173913043476,0.5652173913043478,0.6304347826086957,0.7608695652173914,0.782608695652174,0.9130434782608695,0.9782608695652174,1,1,1,1
UMass-gbq_qr,3,2024-03-16,1,11.3,0.29,13.4,0.221,0.932,1,0,0,0,0,0,0,0.022727272727272728,0.11363636363636363,0.20454545454545456,0.3181818181818182,0.4090909090909091,0.4318181818181818,0.6136363636363636,0.7045454545454546,0.8409090909090909,0.8863636363636364,0.9545454545454546,1,1,1,1,1,1
UMass-gbq_qr,2,2024-04-13,1,9.66,0.294,13.6,0.267,0.686,1,0,0,0,0.0196078431372549,0.0392156862745098,0.0392156862745098,0.09803921568627451,0.1568627450980392,0.2549019607843137,0.3137254901960784,0.39215686274509803,0.43137254901960786,0.49019607843137253,0.6666666666666666,0.6666666666666666,0.7450980392156863,0.7843137254901961,0.8235294117647058,0.8823529411764706,0.9215686274509803,0.9607843137254902,1,1
UMass-gbq_qr,1,2024-04-13,1,8.12,0.304,11.2,0.272,0.765,1,0,0,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.0784313725490196,0.11764705882352941,0.19607843137254902,0.27450980392156865,0.3137254901960784,0.4117647058823529,0.5294117647058824,0.5490196078431373,0.6666666666666666,0.7647058823529411,0.8431372549019608,0.8823529411764706,0.9411764705882353,0.9411764705882353,0.9607843137254902,1,1,1
UMass-gbq_qr,3,2023-12-09,1,60.5,0.315,88.3,0.379,0.578,0.956,0,0,0,0,0.022222222222222223,0.06666666666666667,0.1111111111111111,0.1111111111111111,0.15555555555555556,0.2,0.28888888888888886,0.37777777777777777,0.4222222222222222,0.4888888888888889,0.5111111111111111,0.5333333333333333,0.6888888888888889,0.8,0.8666666666666667,0.8888888888888888,0.9555555555555556,0.9555555555555556,0.9777777777777777
UMass-gbq_qr_fit_locations_separately,3,2024-04-06,1,9.8,0.317,14.3,0.289,0.457,0.891,0.021739130434782608,0.08695652173913043,0.13043478260869565,0.15217391304347827,0.1956521739130435,0.2608695652173913,0.2826086956521739,0.30434782608695654,0.32608695652173914,0.391304347826087,0.391304347826087,0.391304347826087,0.43478260869565216,0.5217391304347826,0.6521739130434783,0.717391304347826,0.7391304347826086,0.8260869565217391,0.9130434782608695,0.9565217391304348,0.9565217391304348,0.9782608695652174,1
UMass-gbq_qr,3,2024-01-20,1,20.2,0.321,31.7,0.344,0.447,1,0,0,0.02631578947368421,0.02631578947368421,0.13157894736842105,0.15789473684210525,0.21052631578947367,0.3157894736842105,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.39473684210526316,0.4473684210526316,0.5,0.5263157894736842,0.5789473684210527,0.6578947368421053,0.7368421052631579,0.8421052631578947,0.9736842105263158,1,1,1
UMass-gbq_qr,3,2024-03-09,1,15,0.322,22.5,0.32,0.727,1,0,0,0,0,0.06818181818181818,0.11363636363636363,0.18181818181818182,0.20454545454545456,0.3409090909090909,0.45454545454545453,0.5454545454545454,0.7045454545454546,0.75,0.7954545454545454,0.8181818181818182,0.8863636363636364,0.9090909090909091,0.9545454545454546,0.9545454545454546,1,1,1,1
UMass-gbq_qr,3,2024-03-30,1,10.8,0.33,17.4,0.329,0.596,1,0,0,0,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.0425531914893617,0.0425531914893617,0.10638297872340426,0.14893617021276595,0.2553191489361702,0.2765957446808511,0.2978723404255319,0.425531914893617,0.5106382978723404,0.574468085106383,0.6382978723404256,0.8085106382978723,0.9361702127659575,1,1,1,1
UMass-gbq_qr,3,2024-01-13,1,29.9,0.333,44.8,0.368,0.488,0.976,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.12195121951219512,0.24390243902439024,0.34146341463414637,0.3902439024390244,0.4634146341463415,0.5121951219512195,0.5365853658536586,0.5609756097560976,0.6829268292682927,0.7317073170731707,0.7804878048780488,0.8048780487804879,0.8292682926829268,0.8780487804878049,0.9024390243902439,0.9512195121951219,0.975609756097561,1,1,1
UMass-gbq_qr_fit_locations_separately,3,2024-03-23,1,9.58,0.338,15.3,0.337,0.419,0.953,0,0.046511627906976744,0.11627906976744186,0.16279069767441862,0.18604651162790697,0.23255813953488372,0.23255813953488372,0.3023255813953488,0.32558139534883723,0.3488372093023256,0.37209302325581395,0.4186046511627907,0.5116279069767442,0.5581395348837209,0.5813953488372093,0.6046511627906976,0.6511627906976745,0.7209302325581395,0.7674418604651163,0.8837209302325582,1,1,1
UMass-gbq_qr_hhs_only,1,2024-01-13,1,24.2,0.338,41.1,0.434,0.537,0.951,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.07317073170731707,0.0975609756097561,0.0975609756097561,0.17073170731707318,0.2926829268292683,0.36585365853658536,0.36585365853658536,0.3902439024390244,0.4146341463414634,0.43902439024390244,0.4634146341463415,0.5609756097560976,0.6341463414634146,0.7073170731707317,0.7804878048780488,0.9024390243902439,0.926829268292683,0.9512195121951219,0.975609756097561,0.975609756097561
UMass-gbq_qr,2,2024-01-20,1,17.8,0.339,24.8,0.32,0.553,0.974,0,0.02631578947368421,0.05263157894736842,0.07894736842105263,0.15789473684210525,0.2631578947368421,0.3684210526315789,0.47368421052631576,0.5,0.5263157894736842,0.5263157894736842,0.6052631578947368,0.6578947368421053,0.7368421052631579,0.8421052631578947,0.8947368421052632,0.9210526315789473,0.9473684210526315,1,1,1,1,1
UMass-gbq_qr,3,2024-03-02,1,10.6,0.34,17.7,0.38,0.655,1,0,0,0,0,0.034482758620689655,0.034482758620689655,0.10344827586206896,0.1724137931034483,0.2413793103448276,0.3448275862068966,0.41379310344827586,0.4482758620689655,0.4827586206896552,0.5172413793103449,0.5517241379310345,0.6551724137931034,0.7586206896551724,0.8275862068965517,0.9310344827586207,0.9655172413793104,1,1,1
UMass-gbq_qr_fit_locations_separately,2,2024-04-13,1,11.3,0.343,17.2,0.338,0.431,0.941,0.0196078431372549,0.0392156862745098,0.058823529411764705,0.13725490196078433,0.19607843137254902,0.27450980392156865,0.29411764705882354,0.3333333333333333,0.35294117647058826,0.37254901960784315,0.45098039215686275,0.5490196078431373,0.5882352941176471,0.6470588235294118,0.6666666666666666,0.6666666666666666,0.7254901960784313,0.7647058823529411,0.803921568627451,0.8627450980392157,0.9607843137254902,0.9803921568627451,1
UMass-gbq_qr_hhs_only,2,2024-01-06,1,26.5,0.343,41.1,0.396,0.676,0.973,0,0.02702702702702703,0.02702702702702703,0.05405405405405406,0.05405405405405406,0.05405405405405406,0.05405405405405406,0.05405405405405406,0.08108108108108109,0.08108108108108109,0.10810810810810811,0.10810810810810811,0.13513513513513514,0.1891891891891892,0.6756756756756757,0.7027027027027027,0.7297297297297297,0.7837837837837838,0.8378378378378378,0.8648648648648649,1,1,1
UMass-gbq_qr_fit_locations_separately,2,2024-04-06,1,9.13,0.344,13.7,0.325,0.435,0.935,0.043478260869565216,0.06521739130434782,0.15217391304347827,0.17391304347826086,0.2391304347826087,0.30434782608695654,0.32608695652173914,0.391304347826087,0.391304347826087,0.41304347826086957,0.43478260869565216,0.4782608695652174,0.5434782608695652,0.5652173913043478,0.6304347826086957,0.6739130434782609,0.7608695652173914,0.8260869565217391,0.8913043478260869,0.9782608695652174,1,1,1
UMass-gbq_qr,2,2023-12-16,1,54.7,0.347,84,0.445,0.585,0.951,0,0,0,0.024390243902439025,0.024390243902439025,0.04878048780487805,0.07317073170731707,0.14634146341463414,0.17073170731707318,0.2682926829268293,0.2926829268292683,0.3170731707317073,0.36585365853658536,0.4634146341463415,0.5121951219512195,0.5853658536585366,0.6585365853658537,0.6829268292682927,0.8048780487804879,0.8292682926829268,0.926829268292683,0.9512195121951219,1
UMass-gbq_qr_hhs_only,3,2023-12-02,1,44.3,0.354,61,0.373,0.591,0.886,0.022727272727272728,0.022727272727272728,0.045454545454545456,0.045454545454545456,0.06818181818181818,0.06818181818181818,0.11363636363636363,0.13636363636363635,0.18181818181818182,0.29545454545454547,0.3409090909090909,0.5227272727272727,0.5681818181818182,0.6136363636363636,0.6590909090909091,0.6590909090909091,0.7045454545454546,0.7272727272727273,0.75,0.7727272727272727,0.8636363636363636,0.9090909090909091,0.9545454545454546
UMass-gbq_qr_fit_locations_separately,1,2024-04-13,1,9.53,0.356,14.6,0.356,0.529,0.941,0.0196078431372549,0.058823529411764705,0.058823529411764705,0.09803921568627451,0.17647058823529413,0.2549019607843137,0.29411764705882354,0.3333333333333333,0.39215686274509803,0.4117647058823529,0.47058823529411764,0.5490196078431373,0.6274509803921569,0.6666666666666666,0.7254901960784313,0.7450980392156863,0.8235294117647058,0.8431372549019608,0.8823529411764706,0.9019607843137255,0.9607843137254902,1,1
UMass-gbq_qr,3,2023-12-02,1,45.2,0.362,65.5,0.401,0.727,1,0,0,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.06818181818181818,0.13636363636363635,0.22727272727272727,0.29545454545454547,0.29545454545454547,0.4090909090909091,0.5227272727272727,0.6136363636363636,0.6818181818181818,0.6818181818181818,0.75,0.8636363636363636,0.9318181818181818,1,1,1,1,1
UMass-gbq_qr,1,2023-12-16,1,30.8,0.365,50.5,0.482,0.585,1,0,0,0,0.024390243902439025,0.0975609756097561,0.17073170731707318,0.21951219512195122,0.24390243902439024,0.34146341463414637,0.36585365853658536,0.4146341463414634,0.4878048780487805,0.5609756097560976,0.6341463414634146,0.7073170731707317,0.7804878048780488,0.8048780487804879,0.8780487804878049,0.9024390243902439,0.975609756097561,0.975609756097561,1,1
UMass-gbq_qr,2,2023-12-09,1,39.9,0.367,62.7,0.449,0.644,1,0,0,0,0,0.022222222222222223,0.13333333333333333,0.2,0.3333333333333333,0.4222222222222222,0.4666666666666667,0.5111111111111111,0.5111111111111111,0.5777777777777777,0.6222222222222222,0.7333333333333333,0.8,0.8444444444444444,0.9111111111111111,0.9333333333333333,0.9777777777777777,1,1,1
UMass-gbq_qr_fit_locations_separately,2,2024-03-16,1,12.8,0.368,18.1,0.345,0.409,0.977,0,0.022727272727272728,0.13636363636363635,0.1590909090909091,0.18181818181818182,0.25,0.2727272727272727,0.29545454545454547,0.3181818181818182,0.36363636363636365,0.4318181818181818,0.4772727272727273,0.5227272727272727,0.5681818181818182,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.7954545454545454,0.8409090909090909,0.8636363636363636,0.9772727272727273,1,1
UMass-gbq_qr,1,2023-12-23,1,53.3,0.373,75.2,0.449,0.512,0.86,0,0,0,0,0,0.023255813953488372,0.06976744186046512,0.11627906976744186,0.11627906976744186,0.16279069767441862,0.2558139534883721,0.3023255813953488,0.3953488372093023,0.4186046511627907,0.4883720930232558,0.5581395348837209,0.5813953488372093,0.6046511627906976,0.6976744186046512,0.7674418604651163,0.8372093023255814,0.8604651162790697,0.9069767441860465
UMass-gbq_qr,3,2024-03-23,1,10.7,0.377,15.7,0.346,0.674,1,0,0,0,0,0,0,0.06976744186046512,0.06976744186046512,0.11627906976744186,0.16279069767441862,0.23255813953488372,0.2558139534883721,0.3488372093023256,0.4186046511627907,0.5116279069767442,0.6046511627906976,0.7441860465116279,0.813953488372093,0.9302325581395349,1,1,1,1
UMass-gbq_qr,2,2024-03-16,1,13.1,0.378,19.3,0.368,0.841,1,0,0,0,0,0.022727272727272728,0.045454545454545456,0.11363636363636363,0.18181818181818182,0.2727272727272727,0.36363636363636365,0.5454545454545454,0.6818181818181818,0.75,0.8181818181818182,0.8636363636363636,0.8863636363636364,0.9545454545454546,0.9772727272727273,0.9772727272727273,0.9772727272727273,1,1,1
UMass-gbq_qr_fit_locations_separately,3,2024-03-09,1,17.8,0.381,25.4,0.362,0.455,0.955,0,0.045454545454545456,0.1590909090909091,0.20454545454545456,0.25,0.29545454545454547,0.29545454545454547,0.36363636363636365,0.38636363636363635,0.4318181818181818,0.45454545454545453,0.4772727272727273,0.5454545454545454,0.6363636363636364,0.6590909090909091,0.7045454545454546,0.75,0.7727272727272727,0.8181818181818182,0.8863636363636364,0.9545454545454546,1,1
UMass-gbq_qr_hhs_only,3,2024-01-06,1,31.8,0.391,52.1,0.474,0.676,1,0,0,0,0,0,0,0,0,0.02702702702702703,0.05405405405405406,0.13513513513513514,0.1891891891891892,0.21621621621621623,0.3783783783783784,0.5405405405405406,0.6216216216216216,0.6756756756756757,0.7567567567567568,0.7837837837837838,0.8378378378378378,0.972972972972973,1,1
UMass-gbq_qr,2,2024-03-09,1,16.8,0.392,28,0.446,0.568,1,0,0,0.022727272727272728,0.13636363636363635,0.13636363636363635,0.25,0.3181818181818182,0.4318181818181818,0.5,0.6136363636363636,0.6590909090909091,0.6818181818181818,0.7045454545454546,0.7727272727272727,0.8181818181818182,0.8863636363636364,0.8863636363636364,0.9318181818181818,0.9545454545454546,1,1,1,1
UMass-gbq_qr,0,2023-12-23,1,24.7,0.393,36,0.478,0.512,0.884,0,0,0,0.06976744186046512,0.11627906976744186,0.11627906976744186,0.13953488372093023,0.18604651162790697,0.2558139534883721,0.3023255813953488,0.3488372093023256,0.3953488372093023,0.4418604651162791,0.5116279069767442,0.5813953488372093,0.6046511627906976,0.6511627906976745,0.6744186046511628,0.6976744186046512,0.7906976744186046,0.8604651162790697,0.8837209302325582,0.9767441860465116
UMass-gbq_qr_hhs_only,3,2024-01-13,1,35.3,0.393,64,0.526,0.61,0.927,0,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.04878048780487805,0.04878048780487805,0.07317073170731707,0.12195121951219512,0.17073170731707318,0.17073170731707318,0.1951219512195122,0.24390243902439024,0.24390243902439024,0.34146341463414637,0.5365853658536586,0.6585365853658537,0.6829268292682927,0.7073170731707317,0.8292682926829268,0.9024390243902439,0.9512195121951219,1
UMass-gbq_qr,3,2023-12-16,1,49.2,0.399,74.9,0.473,0.561,1,0,0,0,0,0,0.12195121951219512,0.21951219512195122,0.24390243902439024,0.2926829268292683,0.3170731707317073,0.3902439024390244,0.4878048780487805,0.5121951219512195,0.6341463414634146,0.6829268292682927,0.7560975609756098,0.7804878048780488,0.8048780487804879,0.8536585365853658,0.926829268292683,1,1,1
UMass-gbq_qr_hhs_only,1,2023-12-09,1,18.2,0.404,28.1,0.445,0.4,0.867,0.022222222222222223,0.022222222222222223,0.044444444444444446,0.044444444444444446,0.13333333333333333,0.15555555555555556,0.17777777777777778,0.2222222222222222,0.2222222222222222,0.28888888888888886,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.4666666666666667,0.5111111111111111,0.5777777777777777,0.6888888888888889,0.7333333333333333,0.8666666666666667,0.8666666666666667,0.8888888888888888,0.8888888888888888
UMass-gbq_qr,3,2024-02-24,1,14.1,0.414,19.7,0.365,0.561,0.951,0,0,0,0,0.024390243902439025,0.024390243902439025,0.04878048780487805,0.07317073170731707,0.07317073170731707,0.1951219512195122,0.21951219512195122,0.2926829268292683,0.34146341463414637,0.3902439024390244,0.4634146341463415,0.5365853658536586,0.6097560975609756,0.6829268292682927,0.8048780487804879,0.8292682926829268,0.8536585365853658,0.9512195121951219,1
UMass-gbq_qr,2,2023-12-23,1,42.2,0.42,68.9,0.534,0.535,1,0,0,0,0,0,0.09302325581395349,0.23255813953488372,0.2558139534883721,0.32558139534883723,0.3953488372093023,0.46511627906976744,0.5581395348837209,0.5813953488372093,0.6511627906976745,0.7209302325581395,0.7674418604651163,0.7674418604651163,0.7906976744186046,0.8604651162790697,0.8837209302325582,0.9767441860465116,1,1
UMass-gbq_qr_hhs_only,1,2024-04-06,1,7.64,0.425,10.1,0.371,0.5,0.913,0.08695652173913043,0.08695652173913043,0.13043478260869565,0.2391304347826087,0.30434782608695654,0.3695652173913043,0.41304347826086957,0.43478260869565216,0.43478260869565216,0.4782608695652174,0.5217391304347826,0.5434782608695652,0.6086956521739131,0.6956521739130435,0.782608695652174,0.8695652173913043,0.9130434782608695,0.9347826086956522,0.9782608695652174,1,1,1,1
UMass-gbq_qr_hhs_only,3,2024-03-30,1,13.9,0.426,21.4,0.405,0.34,0.872,0.10638297872340426,0.1276595744680851,0.2553191489361702,0.40425531914893614,0.48936170212765956,0.574468085106383,0.6382978723404256,0.6595744680851063,0.6808510638297872,0.7446808510638298,0.851063829787234,0.8936170212765957,0.9148936170212766,0.9574468085106383,0.9787234042553191,0.9787234042553191,0.9787234042553191,0.9787234042553191,1,1,1,1,1
UMass-gbq_qr_hhs_only,2,2024-04-06,1,11.5,0.434,15.7,0.372,0.283,0.848,0.043478260869565216,0.15217391304347827,0.2391304347826087,0.34782608695652173,0.5652173913043478,0.6304347826086957,0.717391304347826,0.7391304347826086,0.7391304347826086,0.7391304347826086,0.7391304347826086,0.7608695652173914,0.8043478260869565,0.8695652173913043,0.9782608695652174,0.9782608695652174,1,1,1,1,1,1,1
UMass-gbq_qr_fit_locations_separately,3,2023-12-02,1,54.9,0.439,75.4,0.462,0.341,0.659,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.045454545454545456,0.09090909090909091,0.1590909090909091,0.22727272727272727,0.22727272727272727,0.29545454545454547,0.3181818181818182,0.3409090909090909,0.36363636363636365,0.4090909090909091,0.45454545454545453,0.5,0.5,0.5454545454545454,0.5909090909090909,0.5909090909090909,0.6590909090909091,0.6818181818181818,0.7272727272727273
UMass-gbq_qr_fit_locations_separately,3,2024-02-24,1,15.1,0.444,23.8,0.441,0.293,0.927,0,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0975609756097561,0.17073170731707318,0.17073170731707318,0.1951219512195122,0.2682926829268293,0.2682926829268293,0.3170731707317073,0.3170731707317073,0.34146341463414637,0.34146341463414637,0.34146341463414637,0.43902439024390244,0.4634146341463415,0.4878048780487805,0.6341463414634146,0.7560975609756098,0.8048780487804879,0.9512195121951219,1
UMass-gbq_qr_fit_locations_separately,2,2024-03-09,1,19.1,0.445,27.6,0.438,0.318,0.955,0,0.045454545454545456,0.18181818181818182,0.3409090909090909,0.36363636363636365,0.38636363636363635,0.38636363636363635,0.4318181818181818,0.45454545454545453,0.45454545454545453,0.5681818181818182,0.5909090909090909,0.6363636363636364,0.6818181818181818,0.6818181818181818,0.7045454545454546,0.7045454545454546,0.7272727272727273,0.7727272727272727,0.8863636363636364,0.9545454545454546,1,1
UMass-gbq_qr_hhs_only,0,2024-01-13,1,18.8,0.449,32,0.586,0.463,1,0,0,0,0.024390243902439025,0.0975609756097561,0.1951219512195122,0.24390243902439024,0.34146341463414637,0.36585365853658536,0.3902439024390244,0.3902439024390244,0.43902439024390244,0.4634146341463415,0.5365853658536586,0.5853658536585366,0.6097560975609756,0.7073170731707317,0.7317073170731707,0.8048780487804879,0.8536585365853658,1,1,1
UMass-gbq_qr_fit_locations_separately,3,2023-12-16,1,55.6,0.451,86,0.543,0.366,0.732,0,0,0,0,0.04878048780487805,0.0975609756097561,0.17073170731707318,0.17073170731707318,0.24390243902439024,0.34146341463414637,0.3902439024390244,0.4146341463414634,0.43902439024390244,0.43902439024390244,0.4878048780487805,0.5121951219512195,0.5365853658536586,0.5609756097560976,0.5609756097560976,0.6097560975609756,0.6341463414634146,0.7317073170731707,0.8292682926829268
UMass-gbq_qr,1,2024-04-06,1,8.14,0.454,11.5,0.424,0.63,1,0,0,0,0.021739130434782608,0.06521739130434782,0.10869565217391304,0.13043478260869565,0.15217391304347827,0.1956521739130435,0.2391304347826087,0.3695652173913043,0.41304347826086957,0.45652173913043476,0.5217391304347826,0.6521739130434783,0.7391304347826086,0.7608695652173914,0.8043478260869565,0.9130434782608695,0.9782608695652174,0.9782608695652174,1,1
UMass-gbq_qr,1,2024-01-13,1,32.6,0.456,46.7,0.493,0.293,0.976,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.12195121951219512,0.36585365853658536,0.5609756097560976,0.6341463414634146,0.7560975609756098,0.7804878048780488,0.7804878048780488,0.7804878048780488,0.8292682926829268,0.8536585365853658,0.926829268292683,0.926829268292683,0.926829268292683,0.926829268292683,0.9512195121951219,1,1,1,1,1
UMass-gbq_qr_fit_locations_separately,3,2023-12-09,1,87.7,0.456,117,0.503,0.289,0.556,0,0,0,0,0.044444444444444446,0.1111111111111111,0.13333333333333333,0.15555555555555556,0.17777777777777778,0.17777777777777778,0.17777777777777778,0.2,0.28888888888888886,0.3111111111111111,0.3333333333333333,0.35555555555555557,0.4222222222222222,0.4444444444444444,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.5555555555555556,0.6222222222222222
UMass-gbq_qr_fit_locations_separately,3,2024-01-20,1,29,0.461,41.7,0.453,0.395,0.895,0,0.10526315789473684,0.18421052631578946,0.2631578947368421,0.39473684210526316,0.42105263157894735,0.4473684210526316,0.47368421052631576,0.47368421052631576,0.5526315789473685,0.5526315789473685,0.6052631578947368,0.6578947368421053,0.6578947368421053,0.7894736842105263,0.8421052631578947,0.8421052631578947,0.8947368421052632,0.9210526315789473,0.9736842105263158,1,1,1
UMass-gbq_qr_fit_locations_separately,2,2024-03-23,1,9.52,0.464,15.7,0.489,0.256,0.953,0,0.046511627906976744,0.11627906976744186,0.11627906976744186,0.16279069767441862,0.20930232558139536,0.23255813953488372,0.23255813953488372,0.2558139534883721,0.2558139534883721,0.27906976744186046,0.32558139534883723,0.3488372093023256,0.37209302325581395,0.3953488372093023,0.4186046511627907,0.4883720930232558,0.5813953488372093,0.7209302325581395,0.8604651162790697,0.9534883720930233,1,1
UMass-gbq_qr_fit_locations_separately,0,2023-12-23,1,29.4,0.468,43.2,0.573,0.349,0.93,0,0,0,0.11627906976744186,0.11627906976744186,0.11627906976744186,0.18604651162790697,0.23255813953488372,0.23255813953488372,0.2558139534883721,0.27906976744186046,0.3488372093023256,0.37209302325581395,0.3953488372093023,0.4186046511627907,0.5348837209302325,0.5348837209302325,0.627906976744186,0.6511627906976745,0.6976744186046512,0.7674418604651163,0.9302325581395349,0.9534883720930233
UMass-gbq_qr_fit_locations_separately,1,2023-12-16,1,39.9,0.473,58.4,0.557,0.293,0.756,0,0,0,0.07317073170731707,0.12195121951219512,0.1951219512195122,0.24390243902439024,0.2682926829268293,0.2682926829268293,0.2926829268292683,0.3170731707317073,0.36585365853658536,0.4146341463414634,0.4634146341463415,0.4878048780487805,0.5121951219512195,0.5365853658536586,0.5609756097560976,0.6097560975609756,0.6585365853658537,0.6585365853658537,0.7560975609756098,0.9024390243902439
UMass-gbq_qr,0,2024-01-13,1,19.9,0.476,28.6,0.525,0.39,1,0,0,0,0.024390243902439025,0.0975609756097561,0.2926829268292683,0.4878048780487805,0.5853658536585366,0.6097560975609756,0.6341463414634146,0.6585365853658537,0.6585365853658537,0.6829268292682927,0.7560975609756098,0.7804878048780488,0.8536585365853658,0.8780487804878049,0.926829268292683,0.9512195121951219,1,1,1,1
UMass-gbq_qr,2,2024-01-13,1,33.6,0.477,52.4,0.539,0.415,1,0,0,0,0.12195121951219512,0.21951219512195122,0.34146341463414637,0.4878048780487805,0.5853658536585366,0.6097560975609756,0.6585365853658537,0.6585365853658537,0.6585365853658537,0.7073170731707317,0.7804878048780488,0.8048780487804879,0.8292682926829268,0.9024390243902439,0.926829268292683,0.926829268292683,1,1,1,1
UMass-gbq_qr,1,2024-04-20,1,6.66,0.477,10.2,0.482,0.63,0.978,0,0,0,0,0,0.043478260869565216,0.10869565217391304,0.2391304347826087,0.34782608695652173,0.41304347826086957,0.43478260869565216,0.5217391304347826,0.5434782608695652,0.5869565217391305,0.6086956521739131,0.6304347826086957,0.7391304347826086,0.782608695652174,0.8695652173913043,0.9347826086956522,0.9565217391304348,0.9782608695652174,1
UMass-gbq_qr_fit_locations_separately,1,2024-03-16,1,15.5,0.483,23,0.487,0.364,0.886,0,0.045454545454545456,0.13636363636363635,0.2727272727272727,0.29545454545454547,0.38636363636363635,0.4318181818181818,0.4772727272727273,0.5454545454545454,0.5909090909090909,0.6818181818181818,0.6818181818181818,0.7272727272727273,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.7954545454545454,0.7954545454545454,0.8636363636363636,0.8863636363636364,0.9090909090909091,0.9318181818181818,1
