model,prop,wis,wis_scaled_relative_skill,ae_median,ae_median_scaled_relative_skill,interval_coverage_50,interval_coverage_95,q_coverage_0.010,q_coverage_0.025,q_coverage_0.050,q_coverage_0.100,q_coverage_0.150,q_coverage_0.200,q_coverage_0.250,q_coverage_0.300,q_coverage_0.350,q_coverage_0.400,q_coverage_0.450,q_coverage_0.500,q_coverage_0.550,q_coverage_0.600,q_coverage_0.650,q_coverage_0.700,q_coverage_0.750,q_coverage_0.800,q_coverage_0.850,q_coverage_0.900,q_coverage_0.950,q_coverage_0.975,q_coverage_0.990
UMass-gbq_qr_no_reporting_adj,1,20.8,0.572,31.8,0.622,0.518,0.942,0.013375130616509927,0.03197492163009404,0.052873563218390804,0.08735632183908046,0.13270637408568442,0.17993730407523512,0.23782654127481714,0.29822361546499476,0.3600835945663532,0.419226750261233,0.47314524555903864,0.5245559038662487,0.5784743991640543,0.6246603970741902,0.6743991640543364,0.7157784743991641,0.7563218390804598,0.7947753396029258,0.8365726227795194,0.8806687565308255,0.9299895506792059,0.96760710553814,0.9916405433646813
UMass-gbq_qr,1,21.3,0.583,32.4,0.632,0.544,0.952,0.010240334378265412,0.018808777429467086,0.028422152560083593,0.06185997910135841,0.11368861024033437,0.17262277951933125,0.24535005224660397,0.31786833855799373,0.37763845350052244,0.4394984326018809,0.4934169278996865,0.5442006269592476,0.5966562173458725,0.6589341692789968,0.7055381400208987,0.7521421107628005,0.7895506792058516,0.8313479623824451,0.8739811912225706,0.9084639498432602,0.9343782654127482,0.9650992685475445,0.9897596656217346
UMass-gbq_qr_no_transform,1,22.1,0.606,34,0.664,0.496,0.948,0.015882967607105537,0.027795193312434692,0.04723092998955068,0.09132706374085685,0.14148380355276907,0.20167189132706373,0.27293625914315567,0.34796238244514105,0.4083594566353187,0.4633228840125392,0.509926854754441,0.5657262277951933,0.5993730407523511,0.644723092998955,0.6819226750261232,0.7237199582027168,0.7686520376175549,0.8119122257053292,0.8574712643678161,0.9040752351097179,0.9439916405433647,0.9690700104493208,0.9885057471264368
UMass-gbq_qr_hhs_only,1,30.1,0.826,46.7,0.912,0.368,0.85,0.026541274817136886,0.04096133751306165,0.0729362591431557,0.14357366771159874,0.2071055381400209,0.2537095088819227,0.3103448275862069,0.3644723092998955,0.413166144200627,0.4593521421107628,0.48923719958202716,0.5216300940438872,0.5487983281086729,0.5793103448275863,0.6208986415882968,0.6532915360501568,0.6783699059561129,0.7115987460815048,0.7525600835945664,0.7922675026123301,0.8403343782654128,0.8856844305120167,0.9258098223615465
FluSight-baseline,1,36.4,1,51.2,1,0.308,0.903,0.02612330198537095,0.042842215256008356,0.07774294670846395,0.17157784743991641,0.2501567398119122,0.3113897596656217,0.35360501567398117,0.38746081504702196,0.4148380355276907,0.4403343782654128,0.4637408568443051,0.48923719958202716,0.5145245559038663,0.5442006269592476,0.5759665621734588,0.6081504702194357,0.645350052246604,0.6821316614420063,0.7283176593521421,0.7947753396029258,0.8923719958202717,0.9373040752351097,0.9584117032392895
