model,horizon,prop,wis,wis_scaled_relative_skill,ae_median,ae_median_scaled_relative_skill,interval_coverage_50,interval_coverage_95,q_coverage_0.010,q_coverage_0.025,q_coverage_0.050,q_coverage_0.100,q_coverage_0.150,q_coverage_0.200,q_coverage_0.250,q_coverage_0.300,q_coverage_0.350,q_coverage_0.400,q_coverage_0.450,q_coverage_0.500,q_coverage_0.550,q_coverage_0.600,q_coverage_0.650,q_coverage_0.700,q_coverage_0.750,q_coverage_0.800,q_coverage_0.850,q_coverage_0.900,q_coverage_0.950,q_coverage_0.975,q_coverage_0.990
UMass-gbq_qr,3,1,41.4,0.584,62.9,0.622,0.541,0.955,0.005917159763313609,0.011094674556213017,0.019970414201183433,0.045118343195266274,0.10281065088757396,0.15902366863905326,0.23372781065088757,0.2943786982248521,0.35281065088757396,0.41494082840236685,0.4681952662721893,0.5192307692307693,0.5798816568047337,0.6375739644970414,0.6775147928994083,0.7263313609467456,0.7744082840236687,0.8232248520710059,0.8624260355029586,0.8986686390532544,0.9275147928994083,0.9630177514792899,0.9896449704142012
UMass-gbq_qr,2,1,35.2,0.608,54.8,0.672,0.527,0.948,0.007122507122507123,0.01638176638176638,0.02849002849002849,0.06267806267806268,0.1103988603988604,0.17735042735042736,0.25427350427350426,0.32905982905982906,0.391025641025641,0.46225071225071224,0.5078347578347578,0.5534188034188035,0.5925925925925926,0.6531339031339032,0.6994301994301995,0.7492877492877493,0.7813390313390314,0.8219373219373219,0.8632478632478633,0.896011396011396,0.9280626780626781,0.9601139601139601,0.9914529914529915
UMass-gbq_qr,1,1,27.3,0.644,41.7,0.715,0.524,0.949,0.008928571428571428,0.017857142857142856,0.02403846153846154,0.059065934065934064,0.11744505494505494,0.18475274725274726,0.25824175824175827,0.33791208791208793,0.39697802197802196,0.4491758241758242,0.5,0.5467032967032966,0.603021978021978,0.6614010989010989,0.7060439560439561,0.7506868131868132,0.7822802197802198,0.8186813186813187,0.8619505494505495,0.8962912087912088,0.9244505494505495,0.9629120879120879,0.9869505494505495
UMass-gbq_qr_fit_locations_separately,3,1,51.4,0.725,77.9,0.77,0.336,0.855,0.020710059171597635,0.0613905325443787,0.10872781065088757,0.1863905325443787,0.25,0.30547337278106507,0.34541420118343197,0.3927514792899408,0.43047337278106507,0.46449704142011833,0.4874260355029586,0.5192307692307693,0.5525147928994083,0.5902366863905325,0.625,0.6575443786982249,0.6812130177514792,0.716715976331361,0.7588757396449705,0.8106508875739645,0.867603550295858,0.9134615384615384,0.9556213017751479
UMass-gbq_qr,0,1,18.6,0.73,27.8,0.808,0.526,0.935,0.011936339522546418,0.023209549071618037,0.033156498673740056,0.06962864721485411,0.11538461538461539,0.16976127320954906,0.23275862068965517,0.29973474801061006,0.366710875331565,0.41909814323607425,0.47015915119363394,0.5205570291777188,0.5709549071618037,0.6352785145888594,0.6836870026525199,0.7254641909814323,0.7586206896551724,0.8003978779840849,0.843501326259947,0.8819628647214854,0.9124668435013262,0.9509283819628647,0.98342175066313
UMass-gbq_qr_fit_locations_separately,2,1,44.7,0.771,68.5,0.84,0.291,0.86,0.019943019943019943,0.054843304843304845,0.11467236467236468,0.2037037037037037,0.2799145299145299,0.3383190883190883,0.38675213675213677,0.4252136752136752,0.4537037037037037,0.4821937321937322,0.5142450142450142,0.5512820512820513,0.5811965811965812,0.6089743589743589,0.6310541310541311,0.6524216524216524,0.6780626780626781,0.7094017094017094,0.7492877492877493,0.7998575498575499,0.8589743589743589,0.9109686609686609,0.9636752136752137
UMass-gbq_qr_fit_locations_separately,1,1,34.1,0.804,52.1,0.892,0.318,0.903,0.014423076923076924,0.03777472527472527,0.08722527472527472,0.21016483516483517,0.2822802197802198,0.33722527472527475,0.3791208791208791,0.4182692307692308,0.45535714285714285,0.49038461538461536,0.5254120879120879,0.5638736263736264,0.5892857142857143,0.6167582417582418,0.6421703296703297,0.6648351648351648,0.6957417582417582,0.7252747252747253,0.7603021978021978,0.8008241758241759,0.8667582417582418,0.9354395604395604,0.9793956043956044
UMass-gbq_qr_fit_locations_separately,0,1,23,0.9,35.9,1.04,0.361,0.941,0.013925729442970823,0.025198938992042442,0.070954907161803707,0.18037135278514588,0.2453580901856764,0.3057029177718833,0.35013262599469497,0.38925729442970824,0.4323607427055703,0.473474801061008,0.5159151193633952,0.5497347480106101,0.5749336870026526,0.6127320954907162,0.646551724137931,0.6830238726790451,0.7102122015915119,0.7453580901856764,0.7838196286472149,0.8202917771883289,0.8905835543766578,0.9575596816976127,0.9900530503978779
FluSight-baseline,0,1,25.5,1,34.4,1,0.272,0.915,0.021220159151193633,0.03978779840848806,0.09549071618037135,0.22281167108753316,0.3136604774535809,0.35809018567639256,0.38726790450928383,0.41843501326259946,0.4442970822281167,0.46883289124668437,0.4874005305039788,0.5013262599469496,0.5152519893899205,0.5424403183023873,0.5716180371352785,0.5981432360742706,0.6359416445623343,0.6671087533156499,0.7055702917771883,0.769893899204244,0.8812997347480106,0.9442970822281167,0.9741379310344828
FluSight-baseline,1,1,42.4,1,58.4,1,0.295,0.902,0.026785714285714284,0.04326923076923077,0.07898351648351648,0.17925824175824176,0.26304945054945056,0.3248626373626374,0.3695054945054945,0.3983516483516483,0.4251373626373626,0.4519230769230769,0.4793956043956044,0.5137362637362637,0.5350274725274725,0.5604395604395604,0.5824175824175825,0.614010989010989,0.6504120879120879,0.6888736263736264,0.7287087912087912,0.7932692307692307,0.885989010989011,0.9375,0.9601648351648352
