model,horizon,reference_date,prop,wis,wis_scaled_relative_skill,ae_median,ae_median_scaled_relative_skill,interval_coverage_50,interval_coverage_95,q_coverage_0.010,q_coverage_0.025,q_coverage_0.050,q_coverage_0.100,q_coverage_0.150,q_coverage_0.200,q_coverage_0.250,q_coverage_0.300,q_coverage_0.350,q_coverage_0.400,q_coverage_0.450,q_coverage_0.500,q_coverage_0.550,q_coverage_0.600,q_coverage_0.650,q_coverage_0.700,q_coverage_0.750,q_coverage_0.800,q_coverage_0.850,q_coverage_0.900,q_coverage_0.950,q_coverage_0.975,q_coverage_0.990
UMass-gbq_qr_no_reporting_adj,3,2024-04-06,1,8.63,0.242,12.6,0.217,0.635,0.962,0,0.019230769230769232,0.057692307692307696,0.11538461538461539,0.17307692307692307,0.23076923076923078,0.2692307692307692,0.34615384615384615,0.4423076923076923,0.5576923076923077,0.6923076923076923,0.7115384615384616,0.7692307692307693,0.8461538461538461,0.8653846153846154,0.8846153846153846,0.9038461538461539,0.9230769230769231,0.9423076923076923,0.9423076923076923,0.9807692307692307,0.9807692307692307,1
UMass-gbq_qr_no_reporting_adj,3,2024-03-30,1,8.86,0.248,13,0.221,0.673,1,0,0,0.019230769230769232,0.07692307692307693,0.15384615384615385,0.17307692307692307,0.19230769230769232,0.23076923076923078,0.2692307692307692,0.3269230769230769,0.36538461538461536,0.46153846153846156,0.5384615384615384,0.5961538461538461,0.6923076923076923,0.8076923076923077,0.8653846153846154,0.9230769230769231,0.9615384615384616,1,1,1,1
UMass-gbq_qr_no_reporting_adj,3,2024-03-16,1,12.7,0.249,17,0.212,0.827,1,0,0,0,0.019230769230769232,0.09615384615384616,0.09615384615384616,0.1346153846153846,0.19230769230769232,0.3269230769230769,0.38461538461538464,0.46153846153846156,0.5769230769230769,0.6346153846153846,0.6730769230769231,0.8461538461538461,0.9230769230769231,0.9615384615384616,0.9807692307692307,1,1,1,1,1
UMass-gbq_qr_no_reporting_adj,2,2024-04-06,1,7.71,0.256,11,0.224,0.538,0.981,0,0.019230769230769232,0.07692307692307693,0.11538461538461539,0.21153846153846154,0.34615384615384615,0.34615384615384615,0.38461538461538464,0.40384615384615385,0.46153846153846156,0.5576923076923077,0.6538461538461539,0.6730769230769231,0.7307692307692307,0.8076923076923077,0.8653846153846154,0.8846153846153846,0.9807692307692307,1,1,1,1,1
UMass-gbq_qr_no_transform,3,2024-03-09,1,16.4,0.262,25.9,0.272,0.712,1,0,0,0,0.019230769230769232,0.07692307692307693,0.09615384615384616,0.17307692307692307,0.23076923076923078,0.3269230769230769,0.46153846153846156,0.5961538461538461,0.6538461538461539,0.7115384615384616,0.7692307692307693,0.8076923076923077,0.8653846153846154,0.8846153846153846,0.9038461538461539,0.9230769230769231,0.9807692307692307,0.9807692307692307,1,1
UMass-gbq_qr_no_transform,3,2024-04-06,1,9.43,0.264,13,0.224,0.5,0.865,0.07692307692307693,0.11538461538461539,0.17307692307692307,0.23076923076923078,0.23076923076923078,0.2692307692307692,0.36538461538461536,0.40384615384615385,0.5,0.5384615384615384,0.5576923076923077,0.5769230769230769,0.6153846153846154,0.75,0.7692307692307693,0.8269230769230769,0.8653846153846154,0.9038461538461539,0.9423076923076923,0.9615384615384616,0.9807692307692307,0.9807692307692307,0.9807692307692307
UMass-gbq_qr,3,2024-04-06,1,9.53,0.267,13.4,0.23,0.712,0.981,0,0,0,0,0.019230769230769232,0.019230769230769232,0.11538461538461539,0.1346153846153846,0.15384615384615385,0.17307692307692307,0.19230769230769232,0.23076923076923078,0.36538461538461536,0.5,0.6923076923076923,0.8076923076923077,0.8269230769230769,0.8846153846153846,0.9230769230769231,0.9615384615384616,0.9807692307692307,0.9807692307692307,1
UMass-gbq_qr_no_transform,3,2024-03-30,1,9.81,0.274,14.2,0.242,0.558,0.923,0.057692307692307696,0.07692307692307693,0.07692307692307693,0.1346153846153846,0.1346153846153846,0.15384615384615385,0.23076923076923078,0.2692307692307692,0.3269230769230769,0.36538461538461536,0.38461538461538464,0.46153846153846156,0.5576923076923077,0.5769230769230769,0.6153846153846154,0.6923076923076923,0.7884615384615384,0.8653846153846154,0.9423076923076923,1,1,1,1
UMass-gbq_qr_no_transform,2,2024-04-06,1,8.51,0.282,11.7,0.239,0.596,0.904,0.07692307692307693,0.09615384615384616,0.09615384615384616,0.19230769230769232,0.21153846153846154,0.2692307692307692,0.2692307692307692,0.34615384615384615,0.40384615384615385,0.5192307692307693,0.5384615384615384,0.5769230769230769,0.6923076923076923,0.7307692307692307,0.75,0.8076923076923077,0.8653846153846154,0.9230769230769231,1,1,1,1,1
UMass-gbq_qr,2,2024-04-06,1,8.71,0.289,12.1,0.247,0.692,1,0,0,0,0,0.038461538461538464,0.057692307692307696,0.09615384615384616,0.1346153846153846,0.15384615384615385,0.2692307692307692,0.34615384615384615,0.38461538461538464,0.40384615384615385,0.5576923076923077,0.6346153846153846,0.7692307692307693,0.7884615384615384,0.9230769230769231,0.9807692307692307,1,1,1,1
