model,horizon,prop,wis,wis_scaled_relative_skill,ae_median,ae_median_scaled_relative_skill,interval_coverage_50,interval_coverage_95,q_coverage_0.010,q_coverage_0.025,q_coverage_0.050,q_coverage_0.100,q_coverage_0.150,q_coverage_0.200,q_coverage_0.250,q_coverage_0.300,q_coverage_0.350,q_coverage_0.400,q_coverage_0.450,q_coverage_0.500,q_coverage_0.550,q_coverage_0.600,q_coverage_0.650,q_coverage_0.700,q_coverage_0.750,q_coverage_0.800,q_coverage_0.850,q_coverage_0.900,q_coverage_0.950,q_coverage_0.975,q_coverage_0.990
UMass-gbq_qr,3,1,28.5,0.541,42.4,0.56,0.557,0.96,0.007136485280999108,0.013380909901873328,0.0231935771632471,0.05263157894736842,0.10883140053523639,0.1623550401427297,0.23728813559322035,0.29973238180196254,0.3559322033898305,0.4192685102586976,0.4727921498661909,0.5298840321141838,0.5834076717216771,0.6449598572702944,0.6895628902765388,0.7421944692239072,0.7939339875111507,0.8412132024977699,0.8831400535236396,0.9161462979482605,0.9402319357716324,0.9696699375557538,0.9910793933987511
UMass-gbq_qr,2,1,24.3,0.569,37.4,0.618,0.531,0.953,0.008539709649871904,0.01964133219470538,0.033304867634500426,0.07087959009393681,0.11870196413321947,0.1887275832621691,0.2630230572160547,0.336464560204953,0.3928266438941076,0.4637062339880444,0.5123825789923142,0.5576430401366353,0.5977796754910333,0.6618274978650726,0.7096498719043552,0.7600341588385995,0.7941929974380871,0.8411614005123825,0.8830059777967549,0.9146029035012809,0.9410760034158838,0.9675491033304867,0.9923142613151152
UMass-gbq_qr,1,1,18.9,0.613,28.8,0.673,0.535,0.956,0.010647010647010647,0.020475020475020474,0.027846027846027847,0.06633906633906633,0.12612612612612611,0.1941031941031941,0.26126126126126126,0.3464373464373464,0.4062244062244062,0.4561834561834562,0.5085995085995086,0.5585585585585585,0.6134316134316135,0.6691236691236692,0.7158067158067158,0.7641277641277642,0.7960687960687961,0.8353808353808354,0.8804258804258804,0.9123669123669124,0.9385749385749386,0.9713349713349714,0.9893529893529893
UMass-gbq_qr,0,1,13,0.692,19.3,0.759,0.535,0.943,0.014162077104642014,0.025963808025177025,0.03619197482297404,0.07395751376868608,0.11959087332808813,0.17230527143981117,0.23446105428796224,0.3044846577498033,0.36664044059795436,0.42486231313926043,0.4783634933123525,0.5295043273013376,0.5790715971675846,0.6435877261998426,0.6900078678206137,0.7348544453186467,0.7694728560188828,0.8151062155782848,0.8560188827694729,0.8961447678992919,0.9276160503540519,0.9598741148701809,0.985837922895358
UMass-gbq_qr_fit_locations_separately,3,1,36.9,0.701,55.7,0.735,0.344,0.859,0.021409455842997322,0.06244424620874219,0.11507582515611062,0.19714540588760035,0.25512934879571814,0.30776092774308655,0.34433541480820695,0.39339875111507583,0.431757359500446,0.46922390722569135,0.49063336306868865,0.5236396074933095,0.5566458519179304,0.5905441570026762,0.6262265834076717,0.6619090098126673,0.6886708296164139,0.7243532560214094,0.768064228367529,0.8189116859946476,0.8751115075825157,0.9179304192685103,0.9571810883140054
UMass-gbq_qr_fit_locations_separately,2,1,32.5,0.76,49.6,0.82,0.301,0.86,0.02305721605465414,0.06063193851409052,0.11955593509820667,0.21007685738684884,0.2843723313407344,0.340734415029889,0.3851409052092229,0.4252775405636208,0.45260461144321096,0.4816396242527754,0.5140905209222887,0.5550811272416738,0.5849701110162254,0.6131511528608027,0.637062339880444,0.6584116140051238,0.6865926558497011,0.7190435525192144,0.7608881298035867,0.8104184457728437,0.8684884713919727,0.9154568744662681,0.9675491033304867
UMass-gbq_qr_fit_locations_separately,1,1,23.9,0.778,36.7,0.857,0.331,0.907,0.015561015561015561,0.03931203931203931,0.09090909090909091,0.21048321048321048,0.27682227682227684,0.3308763308763309,0.37428337428337427,0.41605241605241605,0.45864045864045866,0.49713349713349714,0.5356265356265356,0.5733005733005733,0.6011466011466011,0.6273546273546273,0.6543816543816544,0.674037674037674,0.7035217035217035,0.7313677313677314,0.7674037674037674,0.8108108108108109,0.8755118755118755,0.9402129402129402,0.9828009828009828
UMass-gbq_qr_fit_locations_separately,0,1,15.6,0.831,24.5,0.961,0.376,0.944,0.014162077104642014,0.023603461841070025,0.07081038552321008,0.16915814319433517,0.23682140047206923,0.2974036191974823,0.34461054287962234,0.3839496459480724,0.4303697875688434,0.47285601888276946,0.5200629425649095,0.5546813532651456,0.5822187254130606,0.6239181746656176,0.6553894571203777,0.6907946498819827,0.7191188040912667,0.7537372147915028,0.7915027537372148,0.8261211644374509,0.8977183320220299,0.957513768686074,0.990558615263572
FluSight-baseline,0,1,18.8,1,25.5,1,0.302,0.928,0.022816679779701022,0.03776553894571204,0.08969315499606609,0.2147915027537372,0.3060582218725413,0.35405192761605037,0.3831628638867034,0.41856805664830843,0.44846577498033047,0.47442958300550747,0.4940991345397325,0.5098347757671126,0.5247836349331235,0.5562549173878836,0.5885129819040126,0.6176239181746657,0.6585365853658537,0.6931549960660897,0.7293469708890638,0.7938630999213218,0.898505114083399,0.953579858379229,0.981117230527144
FluSight-baseline,1,1,30.8,1,42.8,1,0.324,0.921,0.028665028665028666,0.043407043407043405,0.06961506961506962,0.16871416871416872,0.257985257985258,0.32432432432432434,0.37182637182637185,0.4021294021294021,0.43161343161343163,0.4619164619164619,0.4914004914004914,0.5298935298935299,0.5544635544635544,0.583947583947584,0.6068796068796068,0.6412776412776413,0.678951678951679,0.719082719082719,0.7608517608517609,0.8230958230958231,0.9058149058149059,0.9557739557739557,0.9713349713349714
FluSight-baseline,2,1,42.7,1,60.5,1,0.309,0.892,0.033304867634500426,0.05294619982920581,0.08283518360375747,0.1707941929974381,0.2493595217762596,0.32621690862510677,0.376601195559351,0.4073441502988898,0.43210930828351835,0.45772843723313406,0.4816396242527754,0.5106746370623398,0.5550811272416738,0.5832621690862511,0.6174210076857387,0.6396242527754057,0.6737830913748932,0.7105038428693424,0.7574722459436379,0.8215200683176772,0.9035012809564474,0.9376601195559351,0.9573014517506405
FluSight-baseline,3,1,52.7,1,75.8,1,0.319,0.882,0.03300624442462088,0.054415700267618196,0.09455842997323818,0.1623550401427297,0.2408563782337199,0.31489741302408564,0.3710972346119536,0.42283675289919714,0.45227475468331846,0.47546833184656556,0.49955396966993754,0.5209634255129348,0.5405887600356825,0.568242640499554,0.6083853702051739,0.6494201605709188,0.6797502230151651,0.7127564674397859,0.7618198037466548,0.8242640499553969,0.8911685994647636,0.9313113291703836,0.9455842997323818
