model,prop,wis,wis_scaled_relative_skill,ae_median,ae_median_scaled_relative_skill,interval_coverage_50,interval_coverage_95,q_coverage_0.010,q_coverage_0.025,q_coverage_0.050,q_coverage_0.100,q_coverage_0.150,q_coverage_0.200,q_coverage_0.250,q_coverage_0.300,q_coverage_0.350,q_coverage_0.400,q_coverage_0.450,q_coverage_0.500,q_coverage_0.550,q_coverage_0.600,q_coverage_0.650,q_coverage_0.700,q_coverage_0.750,q_coverage_0.800,q_coverage_0.850,q_coverage_0.900,q_coverage_0.950,q_coverage_0.975,q_coverage_0.990
UMass-flusion__gbq_qr__sarix,1,29.9,0.618,45.3,0.668,0.57,0.958,0.009790209790209791,0.014335664335664336,0.020454545454545454,0.050524475524475525,0.09055944055944055,0.13863636363636364,0.18793706293706294,0.2444055944055944,0.29982517482517484,0.35646853146853147,0.41905594405594404,0.48234265734265735,0.5437062937062938,0.6043706293706294,0.6589160839160839,0.7076923076923077,0.7575174825174825,0.8033216783216783,0.8475524475524475,0.8914335664335664,0.9346153846153846,0.9673076923076923,0.9882867132867132
UMass-flusion,1,30.2,0.622,46.6,0.686,0.558,0.963,0.009615384615384616,0.016608391608391608,0.031993006993006994,0.06573426573426573,0.11066433566433566,0.161013986013986,0.21573426573426574,0.27814685314685317,0.33653846153846156,0.39825174825174825,0.4561188811188811,0.5206293706293706,0.5755244755244755,0.6314685314685314,0.6804195804195804,0.730944055944056,0.7741258741258741,0.8176573426573427,0.8592657342657343,0.9026223776223776,0.9444055944055944,0.9758741258741259,0.9914335664335664
UMass-gbq_qr,1,30.3,0.625,46.3,0.682,0.529,0.947,0.008566433566433567,0.01730769230769231,0.026573426573426574,0.05944055944055944,0.11171328671328672,0.1729020979020979,0.24475524475524477,0.3153846153846154,0.3770979020979021,0.43636363636363634,0.48653846153846153,0.534965034965035,0.5865384615384616,0.6468531468531469,0.6917832167832167,0.737937062937063,0.7739510489510489,0.8157342657342658,0.8575174825174825,0.893006993006993,0.9229020979020979,0.9590909090909091,0.9877622377622378
UMass-flusion__gbq_qr__gbq_qr_no_level,1,30.4,0.628,47.1,0.694,0.546,0.958,0.009965034965034964,0.020804195804195805,0.038811188811188814,0.08181818181818182,0.12954545454545455,0.19283216783216783,0.2545454545454545,0.3243006993006993,0.3895104895104895,0.4526223776223776,0.5131118881118881,0.5660839160839161,0.6152097902097902,0.6711538461538461,0.7146853146853147,0.7554195804195805,0.8001748251748252,0.8391608391608392,0.8760489510489511,0.9089160839160839,0.9407342657342658,0.9746503496503497,0.993006993006993
UMass-flusion__gbq_qr_no_level__sarix,1,33.2,0.685,52.2,0.769,0.528,0.958,0.011888111888111888,0.020104895104895104,0.044405594405594405,0.08356643356643356,0.12010489510489511,0.17027972027972027,0.21975524475524474,0.2737762237762238,0.3230769230769231,0.37622377622377623,0.4297202797202797,0.48846153846153845,0.5437062937062938,0.598951048951049,0.6503496503496503,0.7,0.7477272727272727,0.7935314685314685,0.8402097902097903,0.8854895104895105,0.9386363636363636,0.9732517482517482,0.990034965034965
UMass-gbq_qr_no_level,1,33.9,0.698,52.6,0.775,0.523,0.944,0.01695804195804196,0.04055944055944056,0.08129370629370629,0.13094405594405595,0.17587412587412588,0.22832167832167832,0.2755244755244755,0.3403846153846154,0.3972027972027972,0.45874125874125876,0.5094405594405594,0.570979020979021,0.6236013986013986,0.6708041958041958,0.7124125874125874,0.7594405594405594,0.7986013986013986,0.8351398601398602,0.8671328671328671,0.9097902097902097,0.9477272727272728,0.9802447552447553,0.9944055944055944
UMass-sarix,1,39.5,0.815,60,0.884,0.485,0.917,0.01381118881118881,0.020454545454545454,0.03391608391608392,0.0673076923076923,0.09912587412587412,0.13479020979020978,0.17604895104895105,0.21625874125874125,0.2603146853146853,0.30262237762237765,0.35367132867132867,0.40104895104895105,0.45174825174825173,0.5043706293706294,0.5524475524475524,0.6047202797202798,0.6564685314685315,0.7096153846153846,0.7657342657342657,0.8243006993006993,0.8888111888111888,0.9305944055944056,0.9615384615384616
FluSight-baseline,1,48.5,1,67.9,1,0.282,0.888,0.028846153846153848,0.04807692307692308,0.08951048951048951,0.18706293706293706,0.26853146853146853,0.3298951048951049,0.37272727272727274,0.40664335664335666,0.4325174825174825,0.45594405594405596,0.4781468531468531,0.5008741258741258,0.5234265734265734,0.5487762237762238,0.5777972027972028,0.6066433566433567,0.6402097902097902,0.6751748251748252,0.7201048951048951,0.7853146853146853,0.8804195804195805,0.9284965034965035,0.9522727272727273
