model,prop,wis,wis_scaled_relative_skill,ae_median,ae_median_scaled_relative_skill,interval_coverage_50,interval_coverage_95,q_coverage_0.010,q_coverage_0.025,q_coverage_0.050,q_coverage_0.100,q_coverage_0.150,q_coverage_0.200,q_coverage_0.250,q_coverage_0.300,q_coverage_0.350,q_coverage_0.400,q_coverage_0.450,q_coverage_0.500,q_coverage_0.550,q_coverage_0.600,q_coverage_0.650,q_coverage_0.700,q_coverage_0.750,q_coverage_0.800,q_coverage_0.850,q_coverage_0.900,q_coverage_0.950,q_coverage_0.975,q_coverage_0.990
UMass-flusion,1,21.1,0.575,32.3,0.626,0.597,0.971,0.00961337513061651,0.013584117032392894,0.019435736677115987,0.04075235109717868,0.07439916405433647,0.1199582027168234,0.17136886102403343,0.2309299895506792,0.2932079414838036,0.3575757575757576,0.4206896551724138,0.4831765935214211,0.5506792058516197,0.6140020898641588,0.66478578892372,0.7210031347962382,0.7684430512016719,0.8175548589341692,0.864158829676071,0.9065830721003135,0.9464994775339602,0.9784743991640543,0.993521421107628
MIGHTE-Nsemble,1,26.2,0.714,39.3,0.762,0.565,0.939,0.019017763845350054,0.0296760710553814,0.044096133751306166,0.07774294670846395,0.1205851619644723,0.16217345872518285,0.2071055381400209,0.26729362591431555,0.32016718913270636,0.37784743991640546,0.4296760710553814,0.4990595611285266,0.5498432601880878,0.6102403343782654,0.6683385579937304,0.7187042842215255,0.7694879832810867,0.8152560083594567,0.8574712643678161,0.8942528735632184,0.935841170323929,0.960919540229885,0.9732497387669802
FluSight-ensemble,1,26.1,0.715,40.3,0.784,0.521,0.93,0.010658307210031349,0.016509926854754442,0.02528735632183908,0.05057471264367816,0.08401253918495298,0.12079414838035528,0.16300940438871472,0.20689655172413793,0.2509926854754441,0.30616509926854757,0.36489028213166147,0.42277951933124347,0.4716823406478579,0.5228840125391849,0.574294670846395,0.6227795193312434,0.6754440961337513,0.723092998955068,0.7757575757575758,0.8315569487983281,0.8994775339602926,0.9370950888192268,0.9653082549634274
UGA_flucast-INFLAenza,0.9030303030303031,28.8,0.732,42.9,0.773,0.495,0.912,0.011701380762930026,0.020594430142756845,0.04001872220922069,0.07910133395740697,0.11771589047507607,0.16452141352679617,0.20922068804118887,0.2614088462438568,0.3035338169904049,0.3533816990404868,0.4041656915516031,0.44816288322021997,0.49145799204306106,0.538965597940557,0.5829627896091739,0.6337467821202902,0.6768078633278727,0.7238474139948514,0.7699508542007957,0.8226070676339808,0.8846243856775099,0.9237069974256963,0.9524923941025041
MOBS-GLEAM_FLUH,0.9757575757575757,28.4,0.76,42.4,0.809,0.364,0.795,0.027212341975573172,0.04199700021427041,0.05892436254553246,0.09577887293764731,0.13134776087422326,0.1628455110349261,0.19262909792157704,0.2245553889007928,0.26055281765588173,0.2909792157703021,0.32354831797728734,0.35247482322691237,0.3871866295264624,0.42725519605742446,0.4658238697235912,0.508035140347118,0.5508892221984144,0.5995286050996358,0.6455967430897793,0.7064495393186201,0.7861581315620313,0.8326548103706878,0.8692950503535462
PSI-PROF,1,28.3,0.773,43.3,0.844,0.498,0.882,0.04242424242424243,0.053918495297805645,0.07168234064785789,0.10261233019853709,0.13166144200626959,0.16363636363636364,0.19561128526645769,0.23719958202716823,0.2764890282131661,0.3237199582027168,0.37659352142110764,0.4277951933124347,0.4812957157784744,0.529362591431557,0.5799373040752351,0.6282131661442006,0.6769070010449321,0.7264367816091954,0.773667711598746,0.8292580982236155,0.8894461859979101,0.9256008359456636,0.9412748171368861
CEPH-Rtrend_fluH,1,29.1,0.796,43.1,0.837,0.491,0.881,0.020480668756530825,0.02884012539184953,0.04200626959247649,0.06896551724137931,0.0955067920585162,0.12225705329153605,0.15151515151515152,0.1876698014629049,0.2225705329153605,0.2587251828631139,0.2994775339602926,0.34649947753396027,0.40146290491118075,0.4574712643678161,0.5109717868338558,0.5669801462904911,0.6236154649947754,0.6789968652037618,0.7329153605015674,0.7958202716823406,0.8583072100313479,0.8994775339602926,0.929362591431557
UGA_flucast-Copycat,0.8651515151515151,32.8,0.811,47.1,0.826,0.421,0.827,0.020869138227350845,0.03363614043702431,0.0547507979376381,0.09968082494475816,0.1392094279400933,0.18512153204026516,0.2266142892217039,0.2749815860545053,0.32236680579425486,0.3677878713479008,0.41419101399459857,0.4532285784434078,0.49177510434569116,0.5300761109747115,0.5644488092315246,0.6000491038546526,0.6275472624601032,0.6638841149030199,0.7024306408053033,0.7461330714461085,0.8030935428431132,0.8519518782224405,0.9003191750552418
fjordhest-ensemble,1,30.3,0.828,47,0.913,0.474,0.902,0.03134796238244514,0.04973876698014629,0.07251828631138976,0.11473354231974922,0.148380355276907,0.180773249738767,0.2148380355276907,0.24932079414838035,0.28861024033437827,0.32831765935214213,0.37450365726227797,0.4250783699059561,0.4794148380355277,0.5318704284221526,0.5868338557993731,0.6353187042842215,0.6854754440961337,0.7462904911180773,0.7991640543364681,0.8564263322884013,0.9166144200626959,0.9479623824451411,0.974503657262278
CU-ensemble,1,30.3,0.829,43.9,0.854,0.447,0.83,0.058098223615464996,0.06478578892371996,0.08317659352142111,0.1205851619644723,0.16008359456635318,0.20417972831765935,0.2497387669801463,0.303239289446186,0.3504702194357367,0.3972831765935214,0.44723092998955066,0.490491118077325,0.5427377220480669,0.5822361546499477,0.625496342737722,0.6616509926854754,0.6952978056426332,0.7297805642633229,0.7650992685475444,0.8081504702194358,0.8551724137931035,0.8927899686520376,0.9235109717868338
cfarenewal-cfaepimlight,0.9848484848484849,31.8,0.855,48.1,0.924,0.473,0.944,0.012285532726117349,0.019275577208218597,0.03389112476170303,0.05422579961872485,0.07731412836263503,0.10061427663630587,0.12878627409447152,0.16416013556449904,0.1995339970345266,0.2372378733319212,0.28044905740309256,0.3217538657064181,0.363482313069265,0.41198898538445244,0.46303749205676764,0.5195933065028595,0.5818682482524888,0.6511332344842194,0.7295064604956577,0.8061851302690108,0.8955729718280026,0.9527642448633764,0.982207159500106
SigSci-TSENS,0.9522727272727273,33.1,0.885,48.7,0.927,0.575,0.881,0.038360368259535295,0.050635686102586584,0.066637439719421307,0.09732573432704954,0.1297676457693994,0.16659359929855327,0.20385795703638754,0.24638316527838666,0.2919772029811486,0.3478737395879,0.4210872424375274,0.5041648399824639,0.5718982902235862,0.6317404647084612,0.6832529592284086,0.7233669443226655,0.759754493643139,0.7946076282332311,0.8248575186321788,0.85861464270057,0.8976326172731258,0.9213064445418676,0.9414730381411661
UMass-trends_ensemble,1,32.5,0.89,49.5,0.967,0.639,0.929,0.013584117032392894,0.019435736677115987,0.027586206896551724,0.045141065830721,0.07502612330198537,0.11118077324973877,0.15590386624869385,0.20794148380355276,0.2689655172413793,0.33897596656217344,0.42152560083594565,0.5011494252873563,0.5719958202716824,0.6311389759665622,0.6829676071055382,0.7333333333333333,0.7814002089864159,0.8246603970741901,0.857680250783699,0.8927899686520376,0.9241379310344827,0.9391849529780564,0.9544409613375131
CMU-TimeSeries,0.8795454545454545,32.1,0.902,49.5,0.988,0.443,0.923,0.010057471264367816,0.012452107279693486,0.023706896551724137,0.04717432950191571,0.0886015325670498,0.1396072796934866,0.18726053639846743,0.23443486590038315,0.28400383141762453,0.3333333333333333,0.37476053639846746,0.4212164750957854,0.46479885057471265,0.5023946360153256,0.5431034482758621,0.5790229885057471,0.6288314176245211,0.6788793103448276,0.7310823754789272,0.7935823754789272,0.8807471264367817,0.9310344827586207,0.9727011494252874
SGroup-RandomForest,0.9719696969696969,31.7,0.925,47.3,0.984,0.429,0.892,0.010782833728703903,0.014880310545611387,0.02674142764718568,0.057795988785852924,0.10114298037524261,0.14211774854431744,0.17813241319818848,0.22061677808928187,0.2605132628854863,0.3029976277765797,0.3450506793185249,0.39076989432822945,0.43799870605995256,0.47746387750700886,0.5143411688591762,0.5572568470994177,0.5980159585939184,0.6465387103730861,0.707138235928402,0.7711882682769031,0.8438645676083675,0.8982100496010351,0.9372439076989433
LUcompUncertLab-chimera,0.9056818181818181,34.7,0.937,49.8,0.955,0.464,0.829,0.0482090560937148,0.06420364947060149,0.08380265825636404,0.1092588420815499,0.13944582113088533,0.17594052714575356,0.2088308177517459,0.24329804009912143,0.28339716152286554,0.32529849065104754,0.3701284072989412,0.4203649470601487,0.4665465194863708,0.5116017120973192,0.5595854922279793,0.6100473079522415,0.65938274386123,0.7123225951790944,0.7596305474205902,0.8044604640684839,0.8558233836449651,0.8869114665465195,0.9141698580761433
Stevens-GBR,0.9628787878787879,35.7,0.945,46.8,0.881,0.242,0.778,0.02113750272390499,0.03900631945957725,0.05970799738505121,0.09108738287208543,0.1292220527348006,0.1629984746132055,0.19808237088690347,0.23599912835040313,0.2780562213989976,0.30442362170407494,0.3334059707997385,0.3486598387448246,0.3859228590106777,0.39354979298322074,0.40466332534321203,0.42209631728045327,0.43974722161691,0.4665504467204184,0.5014164305949008,0.5779036827195467,0.7058182610590542,0.8167356722597516,0.9054260187404664
UVAFluX-Ensemble,0.9651515151515152,36.3,0.976,51.2,0.981,0.393,0.772,0.051139995738333686,0.07180907734924355,0.1018538248455146,0.15746857021095248,0.20264223311314725,0.24163647986362669,0.27999147666737695,0.3183464734711272,0.3556360536969955,0.39036863413594713,0.4274451310462391,0.47815896015341997,0.5160877903260175,0.5535904538674622,0.5915192840400597,0.6234817813765182,0.6577881951843171,0.6942254421478798,0.7274664393777968,0.7617728531855956,0.8037502663541445,0.8372043468996377,0.8653313445557212
NU_UCSD-GLEAM_AI_FLUH,0.7111742424242424,43.1,0.982,63.7,1.03,0.416,0.829,0.03394495412844037,0.05198776758409786,0.07247706422018349,0.10917431192660551,0.13944954128440368,0.181651376146789,0.21743119266055047,0.2636085626911315,0.3021406727828746,0.3434250764525994,0.38623853211009174,0.43241590214067277,0.4798165137614679,0.5165137614678899,0.5581039755351682,0.5941896024464832,0.6333333333333333,0.6709480122324158,0.7269113149847095,0.7761467889908257,0.8425076452599388,0.8807339449541285,0.9146788990825688
UM-DeepOutbreak,0.9931818181818182,35.2,0.982,42.9,0.85,0.58,0.789,0.05222152032006738,0.057275215834912616,0.06506632975363234,0.07685828595493788,0.09917877447883765,0.12634238787113075,0.1625605390608549,0.22636344493577595,0.30532743735523266,0.3897662665824384,0.45946515055801224,0.5032638450200042,0.536534007159402,0.5963360707517372,0.6531901452937461,0.7028848178563908,0.7420509580964414,0.7776373973468098,0.8050115813855548,0.8258580753842915,0.8376500315855969,0.8408085912823753,0.8418614445146346
FluSight-baseline,1,36.4,1,51.2,1,0.308,0.903,0.02612330198537095,0.042842215256008356,0.07774294670846395,0.17157784743991641,0.2501567398119122,0.3113897596656217,0.35360501567398117,0.38746081504702196,0.4148380355276907,0.4403343782654128,0.4637408568443051,0.48923719958202716,0.5145245559038663,0.5442006269592476,0.5759665621734588,0.6081504702194357,0.645350052246604,0.6821316614420063,0.7283176593521421,0.7947753396029258,0.8923719958202717,0.9373040752351097,0.9584117032392895
UNC_IDD-InfluPaint,0.7628787878787879,43.4,1.02,62.1,1.03,0.304,0.739,0.0829805249788315,0.11205193338978267,0.14733276883996613,0.18966977138018629,0.22636184024837708,0.26051368896415467,0.29466553767993225,0.3195032458368614,0.3482924075642111,0.3782105560259667,0.4022015241320914,0.42929720575783237,0.4640135478408129,0.4964719164549817,0.5294947784363534,0.5622353937341237,0.598645215918713,0.6344905447360993,0.6745695738075078,0.7273497036409822,0.8004515946937624,0.8509737510584251,0.8981089472198701
cfa-flumech,0.8914772727272727,41.5,1.07,60.7,1.11,0.383,0.814,0.04531508142553694,0.06325230115647865,0.08779797026197782,0.13618126032570216,0.17087561954212888,0.2013216898749115,0.24097238612225633,0.2681142317677602,0.30540476752419166,0.3448194477224451,0.3795138069388718,0.42199669577531274,0.45787113523719614,0.49516167099362757,0.5350483832900638,0.5695067264573991,0.6160018881283927,0.660844937455747,0.7056879867831013,0.7587915978286524,0.8310125088506018,0.873731413736134,0.9103139013452914
GT-FluFNP,0.8651515151515151,42.5,1.15,54.1,1.05,0.327,0.632,0.09797214756902028,0.11507451746884925,0.13437576349865624,0.16320547275836794,0.18470559491815294,0.20913755191790862,0.24089909601759102,0.2748595162472514,0.3049108233569509,0.33691668702663086,0.3637918397263621,0.3977522599560225,0.42829220620571706,0.4595651111654043,0.496701685805033,0.5296848277547032,0.5607134131443928,0.5944295138040557,0.6271683361837284,0.6638162716833619,0.7058392377229417,0.7368678231126313,0.7605668214023943
ISU_NiemiLab-NLH,0.8,40.9,1.2,54.8,1.15,0.379,0.77,0.02058319039451115,0.028424405782896348,0.04214653271257045,0.06910071061014457,0.10708159764763539,0.1399166870864984,0.176427346238667,0.22200441068365598,0.26439598137711345,0.30409213428081355,0.34207302131830436,0.3768684146042637,0.4148493016417545,0.4496446949277138,0.48615535407988236,0.5187454055378584,0.5510904190149473,0.5873560401862289,0.6285224209752511,0.673119333496692,0.7360940945846606,0.7887772604753737,0.8385199705954423
SigSci-CREG,0.7431818181818182,33.8,1.32,46.5,1.3,0.398,0.783,0.04387990762124711,0.05918013856812933,0.07852193995381063,0.10623556581986143,0.1411662817551963,0.17032332563510394,0.2052540415704388,0.23036951501154734,0.26501154734411086,0.299364896073903,0.33227482678983833,0.37066974595842955,0.4067551963048499,0.447459584295612,0.48700923787528866,0.5259815242494227,0.5747690531177829,0.6229792147806005,0.6714780600461894,0.7202655889145496,0.7829099307159353,0.8285219399538106,0.8700923787528868
VTSanghani-Ensemble,0.8712121212121212,50.8,1.35,64.8,1.23,0.226,0.508,0.2389768574908648,0.2587088915956151,0.2840438489646772,0.32472594397076737,0.3561510353227771,0.3851400730816078,0.4087697929354446,0.43118148599269185,0.4540803897685749,0.47771010962241167,0.49987819732034106,0.5200974421437271,0.5395858708891595,0.5607795371498173,0.5829476248477466,0.605115712545676,0.6304506699147381,0.6516443361753959,0.6733252131546894,0.697442143727162,0.7313032886723508,0.7568818514007308,0.7797807551766139
UGuelph-CompositeCurve,0.9227272727272727,52.6,1.36,72.1,1.32,0.404,0.825,0.067854694996573,0.0779072424034727,0.08818825679689285,0.11080648846241718,0.13114005026273703,0.1519305460360978,0.175005711674663,0.20105094813799407,0.23395019419693855,0.27461731779757825,0.31437057345213615,0.36120630568882794,0.40712816997943796,0.4441398217957505,0.48640621430203335,0.529586474754398,0.5720813342472013,0.6148046607265251,0.669865204477953,0.7459447109892621,0.8460132510852182,0.8987891249714416,0.9257482293808544
LosAlamos_NAU-CModel_Flu,0.9318181818181818,89.5,2.39,110,2.08,0.184,0.443,0.19344632768361583,0.2119774011299435,0.23005649717514123,0.24949152542372882,0.26915254237288133,0.2847457627118644,0.3001129943502825,0.31796610169491524,0.33491525423728813,0.35480225988700564,0.3703954802259887,0.38757062146892657,0.4031638418079096,0.416045197740113,0.4384180790960452,0.4567231638418079,0.4786440677966102,0.49966101694915255,0.5229378531073446,0.552316384180791,0.5981920903954803,0.6488135593220339,0.6994350282485876
