season,cum_rate,pop,hosp_burden,reported_burden_est,adj_factor
2010/11,21.7,309321666.0,290000.0,67122.801522,4.320439454615886
2011/12,8.6,311556874.0,140000.0,26793.891164,5.225071608415823
2012/13,44.0,313830990.0,570000.0,138085.6356,4.127873239843348
2013/14,35.2,315993715.0,350000.0,111229.78768,3.1466391090031074
2014/15,64.0,318301008.0,590000.0,203712.64512,2.896236508305371
2015/16,31.5,320635163.0,280000.0,101000.076345,2.7722751321847037
2016/17,62.0,322941311.0,500000.0,200223.61282,2.497207961428093
2017/18,102.7,324985539.0,710000.0,333760.148553,2.1272761385029595
2018/19,63.5,326687501.0,380000.0,207446.563135,1.831797038511105
2019/20,65.7,328239523.0,390000.0,215653.36661100003,1.8084577399781103
2022/23,62.4,333287557.0,475000.0,207971.435568,2.2839675011268086
